coupling_function,k,device_count,cycle_time,listening_rate,duration,format,run_count,readable_run_count,total_data_size_bytes,oldest_created_at,newest_created_at
KURAMOTO,1231,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1241,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1251,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1261,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1271,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1281,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1291,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1301,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,131,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1311,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1321,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1331,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1341,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1351,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
