coupling_function,coupling_parameter,alpha,window_mode,device_count,run_index,run_id,expected_packets,actual_packets,successful_packets,raw_send_packets,simultaneous_collision_count,overall_per_percent,ttu_cycle,max_convergence_cycle,mingap_convergence_cycle,aux_mean_convergence_cycle,max_converged,mingap_converged,aux_mean_converged,final_10_cycle_new_mean_abs_dev,final_10_cycle_new_max_abs_dev,final_10_cycle_min_gap_median,epsilon_tolerance_rad,minimum_collision_free_gap_rad,carrier_sense_duration_ms,airtime_ms,occupied_time_ms
PCO_D,0.05,0.05,fixed_r_025,5,34,pco_d_0034,900,893,893,893,0,0.7777777777777778,18.0,28.0,2.0,7.0,True,True,True,0.03734777607320764,0.13943426182871246,1.2403280647024317,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,35,pco_d_0035,900,895,895,895,0,0.5555555555555556,12.0,20.0,3.0,2.0,True,True,True,0.006577365142061323,0.016443412855153293,1.2401849496283561,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,36,pco_d_0036,900,895,895,895,0,0.5555555555555556,14.0,23.0,1.0,2.0,True,True,True,0.006460735880856201,0.016151839702140604,1.2404459928148301,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,37,pco_d_0037,900,895,895,895,0,0.5555555555555556,11.0,22.0,1.0,2.0,True,True,True,0.006814021726782658,0.01703505431695662,1.2396082944442295,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,38,pco_d_0038,900,896,896,896,0,0.4444444444444444,21.0,19.0,1.0,1.0,True,True,True,0.0046800308112759665,0.01170007702818987,1.2449443272978207,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,39,pco_d_0039,900,897,897,897,0,0.3333333333333333,10.0,26.0,1.0,1.0,True,True,True,0.005818451517728241,0.014443971716401282,1.2422410369431556,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,40,pco_d_0040,900,896,896,896,0,0.4444444444444444,11.0,2.0,1.0,1.0,True,True,True,0.005066216612737731,0.012665541531844316,1.2439643243859773,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,41,pco_d_0041,900,895,895,895,0,0.5555555555555556,11.0,25.0,1.0,2.0,True,True,True,0.006974795184766372,0.01743698796191593,1.2392025131469473,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,42,pco_d_0042,900,897,897,897,0,0.3333333333333333,11.0,8.0,1.0,2.0,True,True,True,0.006279666804110536,0.015699167010276405,1.240939468242785,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,43,pco_d_0043,900,894,894,894,0,0.6666666666666666,11.0,26.0,1.0,2.0,True,True,True,0.036677123207404225,0.13778773284866572,1.244636614835434,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,44,pco_d_0044,900,896,896,896,0,0.4444444444444444,11.0,2.0,1.0,2.0,True,True,True,0.005443468395123161,0.013608670987807958,1.2430329530420878,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,45,pco_d_0045,900,895,895,895,0,0.5555555555555556,11.0,17.0,1.0,2.0,True,True,True,0.006567884813022467,0.01641971203255608,1.2401941944793977,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,46,pco_d_0046,900,896,896,896,0,0.4444444444444444,17.0,8.0,1.0,1.0,True,True,True,0.005085796434794574,0.012714491086986347,1.2439001082161125,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,47,pco_d_0047,900,896,896,896,0,0.4444444444444444,11.0,2.0,1.0,2.0,True,True,True,0.006592499664421743,0.01648124916105429,1.2401542235843328,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,48,pco_d_0048,900,897,897,897,0,0.3333333333333333,10.0,21.0,1.0,1.0,True,True,True,0.005279227379250462,0.013198068448126144,1.2434767455433882,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,49,pco_d_0049,900,895,895,895,0,0.5555555555555556,11.0,10.0,2.0,2.0,True,True,True,0.004828283887201294,0.012070709718003326,1.2445820815442734,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.1,0.1,fixed_r_025,5,0,pco_d_0000,900,892,892,892,0,0.8888888888888888,11.0,2.0,2.0,2.0,True,True,True,0.01182587783339818,0.029564694583495487,1.2270724058851243,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.1,0.1,fixed_r_025,5,1,pco_d_0001,900,892,892,892,0,0.8888888888888888,11.0,11.0,2.0,2.0,True,True,True,0.04205821757267632,0.15005241524664203,1.2270761399745247,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.1,0.1,fixed_r_025,5,2,pco_d_0002,900,890,890,890,0,1.1111111111111112,12.0,14.0,3.0,3.0,True,True,True,0.011825970254546875,0.029564925636367166,1.2270719141210429,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.1,0.1,fixed_r_025,5,3,pco_d_0003,900,894,894,894,0,0.6666666666666666,28.0,14.0,1.0,1.0,True,True,True,0.01182548446701516,0.02956371116753793,1.227073547175178,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.1,0.1,fixed_r_025,5,4,pco_d_0004,900,893,893,893,0,0.7777777777777778,11.0,1.0,1.0,1.0,True,True,True,0.011825883446363128,0.029564708615907785,1.227072316674624,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.1,0.1,fixed_r_025,5,5,pco_d_0005,900,893,893,893,0,0.7777777777777778,17.0,2.0,1.0,1.0,True,True,True,0.011824824661041742,0.029562061652604398,1.227074985480173,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.1,0.1,fixed_r_025,5,6,pco_d_0006,900,891,891,891,0,1.0,12.0,5.0,3.0,2.0,True,True,True,0.011825493731394538,0.029563734328486378,1.2270730943120625,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.1,0.1,fixed_r_025,5,7,pco_d_0007,900,894,894,894,0,0.6666666666666666,11.0,8.0,1.0,1.0,True,True,True,0.011825886199522264,0.029564715498805683,1.227072408223599,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.1,0.1,fixed_r_025,5,8,pco_d_0008,900,892,892,892,0,0.8888888888888888,17.0,15.0,1.0,2.0,True,True,True,0.011823958144439447,0.029559895361098577,1.2270770703557523,1.224537524338598,0.03209953709731907,5,20.544,25.544
