time,oscillator_id,send_count,cycle_index,phase_ms,selected_run_index,selection
138072.43343597447,1,28,28,1407.433435974468,3,"KURAMOTO N=5 K=10, PER=0"
138678.94622595407,4,28,28,2013.9462259540742,3,"KURAMOTO N=5 K=10, PER=0"
141651.83746448197,2,29,28,4986.8374644819705,3,"KURAMOTO N=5 K=10, PER=0"
141741.16253551803,3,29,29,76.16253551802947,3,"KURAMOTO N=5 K=10, PER=0"
142449.95315349702,0,29,29,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
143075.9577573657,1,29,29,1410.9577573656861,3,"KURAMOTO N=5 K=10, PER=0"
143682.39867669516,4,29,29,2017.3986766951566,3,"KURAMOTO N=5 K=10, PER=0"
146651.27739637127,2,30,29,4986.277396371268,3,"KURAMOTO N=5 K=10, PER=0"
146741.72260362873,3,30,30,76.72260362873203,3,"KURAMOTO N=5 K=10, PER=0"
147449.95315349702,0,30,30,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
148079.4977517905,1,30,30,1414.4977517905063,3,"KURAMOTO N=5 K=10, PER=0"
148685.85080077793,4,30,30,2020.850800777931,3,"KURAMOTO N=5 K=10, PER=0"
151650.71033508686,2,31,30,4985.7103350868565,3,"KURAMOTO N=5 K=10, PER=0"
151742.28966491314,3,31,31,77.2896649131435,3,"KURAMOTO N=5 K=10, PER=0"
152449.95315349702,0,31,31,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
153083.05341905024,1,31,31,1418.0534190502367,3,"KURAMOTO N=5 K=10, PER=0"
153689.30252544416,4,31,31,2024.30252544416,3,"KURAMOTO N=5 K=10, PER=0"
156650.13619445468,2,32,31,4985.136194454681,3,"KURAMOTO N=5 K=10, PER=0"
156742.86380554532,3,32,32,77.86380554531934,3,"KURAMOTO N=5 K=10, PER=0"
157449.95315349702,0,32,32,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
158086.62475770258,1,32,32,1421.6247577025788,3,"KURAMOTO N=5 K=10, PER=0"
158692.75377758272,4,32,32,2027.7537775827223,3,"KURAMOTO N=5 K=10, PER=0"
161649.55488728237,2,33,32,4984.554887282371,3,"KURAMOTO N=5 K=10, PER=0"
161743.44511271763,3,33,33,78.44511271762894,3,"KURAMOTO N=5 K=10, PER=0"
162449.95315349702,0,33,33,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
163090.21176504527,1,33,33,1425.211765045271,3,"KURAMOTO N=5 K=10, PER=0"
163696.20448372932,4,33,33,2031.2044837293215,3,"KURAMOTO N=5 K=10, PER=0"
166648.96632534894,2,34,33,4983.966325348942,3,"KURAMOTO N=5 K=10, PER=0"
166744.03367465106,3,34,34,79.03367465105839,3,"KURAMOTO N=5 K=10, PER=0"
167449.95315349702,0,34,34,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
168093.81443709973,1,34,34,1428.8144370997325,3,"KURAMOTO N=5 K=10, PER=0"
168699.65457006617,4,34,34,2034.6545700661663,3,"KURAMOTO N=5 K=10, PER=0"
171648.3704193943,2,35,34,4983.370419394312,3,"KURAMOTO N=5 K=10, PER=0"
171744.6295806057,3,35,35,79.6295806056878,3,"KURAMOTO N=5 K=10, PER=0"
172449.95315349702,0,35,35,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
173097.43276859465,1,35,35,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
173703.1039624217,4,35,35,2038.1039624217083,3,"KURAMOTO N=5 K=10, PER=0"
176647.76707910895,2,36,35,4982.767079108948,3,"KURAMOTO N=5 K=10, PER=0"
176745.23292089105,3,36,36,80.23292089105234,3,"KURAMOTO N=5 K=10, PER=0"
177449.95315349702,0,36,36,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
178097.43276859465,1,36,36,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
178706.55258627038,4,36,36,2041.5525862703798,3,"KURAMOTO N=5 K=10, PER=0"
181647.15621312332,2,37,36,4982.156213123322,3,"KURAMOTO N=5 K=10, PER=0"
181745.84378687668,3,37,37,80.84378687667777,3,"KURAMOTO N=5 K=10, PER=0"
182449.95315349702,0,37,37,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
183097.43276859465,1,37,37,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
183710.01686711868,4,37,37,2045.0168671186839,3,"KURAMOTO N=5 K=10, PER=0"
186646.53772899747,2,38,37,4981.537728997471,3,"KURAMOTO N=5 K=10, PER=0"
186746.46227100253,3,38,38,81.46227100252872,3,"KURAMOTO N=5 K=10, PER=0"
187449.95315349702,0,38,38,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
188097.43276859465,1,38,38,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
188713.4968105449,4,38,38,2048.4968105448934,3,"KURAMOTO N=5 K=10, PER=0"
191645.91153321048,2,39,38,4980.911533210485,3,"KURAMOTO N=5 K=10, PER=0"
191747.08846678952,3,39,39,82.08846678951522,3,"KURAMOTO N=5 K=10, PER=0"
192449.95315349702,0,39,39,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
193097.43276859465,1,39,39,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
193716.9924209633,4,39,39,2051.9924209633027,3,"KURAMOTO N=5 K=10, PER=0"
196645.27753114988,2,40,39,4980.277531149884,3,"KURAMOTO N=5 K=10, PER=0"
196747.72246885012,3,40,40,82.72246885011555,3,"KURAMOTO N=5 K=10, PER=0"
