time,oscillator_id,send_count,cycle_index,record_type,action,carrier_sense_start,carrier_sense_end,blocking_oscillator_id,blocking_transmission_start,blocking_transmission_end,min_gap_rad,new_max_abs_dev,new_mean_abs_dev,selected_run_index,highlighted_device
855993.7179525548,41,172.0,172,send,,,,,,,,,,0,20
856084.191683934,24,132.0,172,send,,,,,,,,,,0,20
856161.3506573465,29,71.0,172,send,,,,,,,,,,0,20
856253.2617008941,12,172.0,172,send,,,,,,,,,,0,20
856340.8008301927,49,165.0,172,send,,,,,,,,,,0,20
856436.0382124174,37,148.0,172,send,,,,,,,,,,0,20
856530.6572716616,46,141.0,172,send,,,,,,,,,,0,20
856632.8262376115,26,172.0,172,send,,,,,,,,,,0,20
856735.0352842268,33,172.0,172,send,,,,,,,,,,0,20
856838.0324997872,0,172.0,172,send,,,,,,,,,,0,20
856940.5933165337,3,170.0,172,send,,,,,,,,,,0,20
857053.1644312504,8,172.0,172,send,,,,,,,,,,0,20
857157.0027863061,19,172.0,172,send,,,,,,,,,,0,20
857252.3407320037,42,172.0,172,send,,,,,,,,,,0,20
857356.7364421415,31,171.0,172,send,,,,,,,,,,0,20
857462.0939396964,27,172.0,172,send,,,,,,,,,,0,20
857568.1724417708,7,172.0,172,send,,,,,,,,,,0,20
857673.291475159,17,172.0,172,send,,,,,,,,,,0,20
857783.3549996013,14,172.0,172,send,,,,,,,,,,0,20
857883.5030275532,38,172.0,172,send,,,,,,,,,,0,20
857997.4972875168,23,116.0,172,send,,,,,,,,,,0,20
858112.4249348349,10,172.0,172,send,,,,,,,,,,0,20
858221.758241186,48,172.0,172,send,,,,,,,,,,0,20
858340.1379994939,34,172.0,172,send,,,,,,,,,,0,20
858448.9493209673,1,172.0,172,send,,,,,,,,,,0,20
858567.5927533743,40,172.0,172,send,,,,,,,,,,0,20
858676.3789752164,15,172.0,172,send,,,,,,,,,,0,20
858798.673215839,36,164.0,172,send,,,,,,,,,,0,20
858909.5709258398,43,137.0,172,send,,,,,,,,,,0,20
859029.4108394533,45,172.0,172,send,,,,,,,,,,0,20
859149.8169545055,18,172.0,172,send,,,,,,,,,,0,20
859254.4018891104,47,172.0,172,send,,,,,,,,,,0,20
859368.9745413611,32,172.0,172,send,,,,,,,,,,0,20
859483.3981818879,5,172.0,172,send,,,,,,,,,,0,20
859588.7012041621,44,172.0,172,send,,,,,,,,,,0,20
859706.712268351,9,163.0,172,send,,,,,,,,,,0,20
859814.7464570063,11,172.0,172,send,,,,,,,,,,0,20
859922.7732628845,30,172.0,172,send,,,,,,,,,,0,20
860022.8641253118,13,172.0,172,send,,,,,,,,,,0,20
860122.3982908202,4,172.0,172,send,,,,,,,,,,0,20
860214.2220589017,25,172.0,172,send,,,,,,,,,,0,20
860306.2248181142,35,166.0,172,send,,,,,,,,,,0,20
860398.8321012883,28,160.0,172,send,,,,,,,,,,0,20
860490.9187839817,21,145.0,172,send,,,,,,,,,,0,20
860575.6908945328,22,172.0,172,send,,,,,,,,,,0,20
860660.4059137607,16,121.0,173,send,,,,,,,,,,0,20
860751.8847412209,2,101.0,173,send,,,,,,,,,,0,20
860829.0438627617,6,173.0,173,send,,,,,,,,,,0,20
860913.3867744224,39,173.0,173,send,,,,,,,,,,0,20
860997.3940565272,41,173.0,173,send,,,,,,,,,,0,20
861080.8033700165,24,133.0,173,send,,,,,,,,,,0,20
861164.738971264,29,72.0,173,send,,,,,,,,,,0,20
861249.4192894073,12,173.0,173,send,,,,,,,,,,0,20
861344.6432416795,49,166.0,173,send,,,,,,,,,,0,20
861431.8864476911,37,149.0,173,send,,,,,,,,,,0,20
861534.8090363878,46,142.0,173,send,,,,,,,,,,0,20
861637.3075282531,26,173.0,173,send,,,,,,,,,,0,20
861739.5183231932,33,173.0,173,send,,,,,,,,,,0,20
861833.5341170415,0,173.0,173,send,,,,,,,,,,0,20
861945.0916992794,3,171.0,173,send,,,,,,,,,,0,20
862048.6103312746,8,173.0,173,send,,,,,,,,,,0,20
