coupling_function,coupling_parameter,alpha,window_mode,device_count,run_index,run_id,expected_packets,actual_packets,successful_packets,raw_send_packets,simultaneous_collision_count,overall_per_percent,ttu_cycle,max_convergence_cycle,mingap_convergence_cycle,aux_mean_convergence_cycle,max_converged,mingap_converged,aux_mean_converged,final_10_cycle_new_mean_abs_dev,final_10_cycle_new_max_abs_dev,final_10_cycle_min_gap_median,epsilon_tolerance_rad,minimum_collision_free_gap_rad,carrier_sense_duration_ms,airtime_ms,occupied_time_ms,backoff_retry_total,retry_exhausted_abandon_total,csma_w0_ms,csma_w_max_ms,csma_max_retries
CSMA_CA,0,0,fixed_anchor,5,7,csma_ca_0007,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.831893734670577,2.0797343366764425,0.5441238476017523,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,8,csma_ca_0008,900,900,900,900,0,0.0,10.0,,1,,False,True,False,1.2938335184544205,2.932990901391431,0.05654866776461631,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,9,csma_ca_0009,900,900,900,900,0,0.0,10.0,1.0,1,1.0,True,True,True,0.49159641843373086,0.8230972752405252,0.433539786195392,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,10,csma_ca_0010,900,900,900,900,0,0.0,10.0,1.0,1,1.0,True,True,True,0.5494017232597831,1.1510795482753011,0.33677873246482637,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,11,csma_ca_0011,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,1.0867397307297817,2.716849326824453,0.03895574890451314,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,12,csma_ca_0012,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.8585344403730186,1.6725839287712063,0.11309733552923257,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,13,csma_ca_0013,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.6579751653678463,1.4564423542042284,0.5227610175573414,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,14,csma_ca_0014,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.7655432978267609,1.9138582445669023,0.35311501426349245,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,15,csma_ca_0015,900,900,900,900,0,0.0,10.0,1.0,1,1.0,True,True,True,0.6624990587890156,0.9650972631827841,0.5328141140488287,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,16,csma_ca_0016,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.7580034754581451,1.572052963856332,0.5252742916802138,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,17,csma_ca_0017,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.8409415215129158,1.2779998914803279,0.07916813487046337,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,18,csma_ca_0018,900,900,900,900,0,0.0,11.0,,1,1.0,False,True,True,0.8705981561628036,2.176495390407009,0.05403539364174481,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,19,csma_ca_0019,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.774088429844525,1.5921591568393076,0.34557519189487707,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
