time,oscillator_id,send_count,cycle_index,phase_rad,run_index,cumulative_per_percent,record_type
513101.05109259824,1,103.0,103,1.8045950250744882,3.0,,
513745.52144858567,4,103.0,103,2.614460359405095,3.0,,
516583.1922822334,2,104.0,103,6.180382697122571,3.0,,
516809.8077177666,3,104.0,104,0.18197074492747792,3.0,,
517457.1971425416,0,104.0,104,0.9955042892813856,3.0,,
518101.05109259824,1,104.0,104,1.8045950250744882,3.0,,
518749.1424201658,4,104.0,104,2.6190106064911203,3.0,,
521581.78758252563,2,105.0,104,6.17861749940962,3.0,,
521811.21241747437,3,105.0,105,0.18373594264042858,3.0,,
522457.1971425416,0,105.0,105,0.9955042892813856,3.0,,
523104.6693922923,1,105.0,105,1.8091419145693926,3.0,,
523749.1424201658,4,105.0,105,2.6190106064911203,3.0,,
526580.365950557,2,106.0,105,6.1768310239901805,3.0,,
526812.634049443,3,106.0,106,0.18552241805986855,3.0,,
527457.1971425416,0,106.0,106,0.9955042892814586,3.0,,
528104.6693922923,1,106.0,106,1.8091419145693926,3.0,,
528752.7634033229,4,106.0,106,2.623560868125135,3.0,,
531578.9272002672,2,107.0,106,6.175023037053808,3.0,,
531814.0727997328,3,107.0,107,0.18733040499624096,3.0,,
532460.818515914,0,107.0,107,1.000055041274495,3.0,,
533104.6693922923,1,107.0,107,1.8091419145693926,3.0,,
533752.7634033229,4,107.0,107,2.623560868125135,3.0,,
536577.4711442301,2,108.0,107,6.173193303074057,3.0,,
536815.5288557699,3,108.0,108,0.1891601389759919,3.0,,
537460.818515914,0,108.0,108,1.000055041274495,3.0,,
538108.2876786576,1,108.0,108,1.8136887873149092,3.0,,
538752.7634033229,4,108.0,108,2.623560868125135,3.0,,
541575.9975936706,2,109.0,108,6.171341584829106,3.0,,
541817.0024063294,3,109.0,109,0.19101185722094313,3.0,,
542464.443035504,0,109.0,109,1.0046097469211133,3.0,,
543108.2876786576,1,109.0,109,1.8136887873149092,3.0,,
543756.3843981647,4,109.0,109,2.6281111444426046,3.0,,
546574.5063584835,2,110.0,109,6.169467643425602,3.0,,
546818.4936415165,3,110.0,110,0.19288579862444669,3.0,,
547464.443035504,0,110.0,110,1.0046097469211133,3.0,,
548111.9059379931,1,110.0,110,1.8182356260938086,3.0,,
548756.3843981647,4,110.0,110,2.6281111444426046,3.0,,
551572.9972472524,2,111.0,110,6.167571238322803,3.0,,
551820.0027527476,3,111.0,111,0.19478220372724667,3.0,,
552464.443035504,0,111.0,111,1.0046097469211133,3.0,,
553111.9059379931,1,111.0,111,1.8182356260938086,3.0,,
553760.005404859,4,111.0,111,2.6326614356543354,3.0,,
556571.4700672715,2,112.0,111,6.165652127359341,3.0,,
556821.5299327285,3,112.0,112,0.19670131469070767,3.0,,
557468.0638767785,0,112.0,112,1.0091598302602314,3.0,,
558111.9059379931,1,112.0,112,1.8182356260938086,3.0,,
558760.005404859,4,112.0,112,2.6326614356543354,3.0,,
561569.9246245681,2,113.0,112,6.163710066781907,3.0,,
561823.0753754319,3,113.0,113,0.198643375268142,3.0,,
562468.0638767785,0,113.0,113,1.0091598302602314,3.0,,
563115.5241861321,1,113.0,113,1.822782450802801,3.0,,
563760.005404859,4,113.0,113,2.6326614356543354,3.0,,
566568.3607239266,2,114.0,113,6.161744811275375,3.0,,
566824.6392760734,3,114.0,114,0.20060863077467303,3.0,,
567471.6870926418,0,114.0,114,1.0137128975957181,3.0,,
568115.5241861321,1,114.0,114,1.822782450802801,3.0,,
568763.6264235055,4,114.0,114,2.6372117418857,3.0,,
571566.7781689143,2,115.0,114,6.159756113995144,3.0,,
571826.2218310857,3,115.0,115,0.2025973280549052,3.0,,
572471.6870926418,0,115.0,115,1.0137128975957181,3.0,,
573119.1424127289,1,115.0,115,1.827329248440933,3.0,,
573763.6264235055,4,115.0,115,2.6372117418857,3.0,,
576565.176761909,2,116.0,115,6.157743726601943,3.0,,
576827.823238091,3,116.0,116,0.20460971544810624,3.0,,
577475.3123721767,0,116.0,116,1.0182685582172644,3.0,,
578119.1424127289,1,116.0,116,1.827329248440933,3.0,,
578767.2474542494,4,116.0,116,2.6417620633191246,3.0,,
581563.5563041281,2,117.0,116,6.155707399297976,3.0,,
581829.4436958719,3,117.0,117,0.2066460427520732,3.0,,
582475.3123721767,0,117.0,117,1.0182685582172644,3.0,,
583122.7606087405,1,117.0,117,1.831876007644696,3.0,,
583767.2474542494,4,117.0,117,2.6417620633191246,3.0,,
586561.9165956593,2,118.0,117,6.153646880866123,3.0,,
586831.0834043407,3,118.0,118,0.20870656118392636,3.0,,
587475.3123721767,0,118.0,118,1.0182685582172644,3.0,,
588122.7606087405,1,118.0,118,1.831876007644696,3.0,,
588770.8684972756,4,118.0,118,2.6463124001869196,3.0,,
591560.2574354934,2,119.0,118,6.1515619187107555,3.0,,
591832.7425645066,3,119.0,119,0.21079152333929355,3.0,,
592478.9322976894,0,119.0,119,1.0228174907761598,3.0,,
593122.7606087405,1,119.0,119,1.831876007644696,3.0,,
593770.8684972756,4,119.0,119,2.6463124001869196,3.0,,
596558.578621559,2,120.0,119,6.14945225890148,3.0,,
596834.421378441,3,120.0,120,0.21290118314856912,3.0,,
597478.9322976894,0,120.0,120,1.0228174907761598,3.0,,
598126.3787972521,1,120.0,120,1.8364227574236094,3.0,,
598770.8684972756,4,120.0,120,2.6463124001869196,3.0,,
601556.8799507588,2,121.0,120,6.147317646218778,3.0,,
601836.1200492412,3,121.0,121,0.21503579583127094,3.0,,
602482.5534450198,0,121.0,121,1.027367958716441,3.0,,
603126.3787972521,1,121.0,121,1.8364227574236094,3.0,,
603774.4895526697,4,121.0,121,2.65086275259661,3.0,,
606555.1612190085,2,122.0,121,6.145157824202724,3.0,,
606837.8387809915,3,122.0,122,0.21719561784732497,3.0,,
607482.5534450198,0,122.0,122,1.027367958716441,3.0,,
608129.9969729327,1,122.0,122,1.8409694910786787,3.0,,
608774.4895526697,4,122.0,122,2.65086275259661,3.0,,
611553.422221277,2,123.0,122,6.1429725352036,3.0,,
611839.577778723,3,123.0,123,0.21938090684644845,3.0,,
612486.1754749817,0,123.0,123,1.031919535804198,3.0,,
613129.9969729327,1,123.0,123,1.8409694910786787,3.0,,
613778.1106205408,4,123.0,123,2.655413120685418,3.0,,
616551.6627516295,2,124.0,123,6.140761520436027,3.0,,
616841.3372483705,3,124.0,124,0.22159192161402202,3.0,,
617486.1754749817,0,124.0,124,1.031919535804198,3.0,,
618133.615131899,1,124.0,124,1.8455162037299015,3.0,,
618778.1106205408,4,124.0,124,2.655413120685418,3.0,,
621549.882603272,2,125.0,124,6.138524520035135,3.0,,
621843.117396728,3,125.0,125,0.22382892201491353,3.0,,
622489.7980401065,0,125.0,125,1.0364717853975904,3.0,,
623133.615131899,1,125.0,125,1.8455162037299015,3.0,,
623781.7317010154,4,125.0,125,2.6599635046122154,3.0,,
626548.0815685989,2,126.0,125,6.136261273115966,3.0,,
626844.9184314011,3,126.0,126,0.2260921689340836,3.0,,
627489.7980401065,0,126.0,126,1.0364717853975904,3.0,,
628137.2332717576,1,126.0,126,1.8500628923696647,3.0,,
628781.7317010154,4,126.0,126,2.6599635046122154,3.0,,
631546.2594392422,2,127.0,126,6.133971517835637,3.0,,
631846.7405607578,3,127.0,127,0.22838192421441164,3.0,,
632493.4207844422,0,127.0,127,1.0410242601939086,3.0,,
633137.2332717576,1,127.0,127,1.8500628923696647,3.0,,
633785.3527942308,4,127.0,127,2.6645139045496276,3.0,,
