cycle_index,min_gap_rad,new_max_abs_dev,new_mean_abs_dev,function,K,run_index,selected_for_median
62,0.06696753083346385,0.07338859205362125,0.034536457973802316,KURAMOTO,500,9,True
63,0.05500605101720968,0.09726820675579445,0.028309168206506287,KURAMOTO,500,9,True
64,0.058340949771578776,0.07987461150145075,0.03313499934416057,KURAMOTO,500,9,True
65,0.05670438138817602,0.0833201031925907,0.02958771860968323,KURAMOTO,500,9,True
66,0.04679079816807352,0.08075935108274485,0.027439257115199674,KURAMOTO,500,9,True
67,0.04843651625856749,0.08206400109506101,0.030468180535082257,KURAMOTO,500,9,True
68,0.06549717645881792,0.08244645202087714,0.028735691675926364,KURAMOTO,500,9,True
69,0.0535969944976431,0.09657645042835233,0.03284161159120472,KURAMOTO,500,9,True
70,0.06506881245882817,0.08731501424449756,0.03227151851775631,KURAMOTO,500,9,True
71,0.047095696607544646,0.07865676095704216,0.0321301954459772,KURAMOTO,500,9,True
72,0.05691296801398149,0.10172907760697764,0.03112385772290904,KURAMOTO,500,9,True
73,0.04687164754065609,0.07879205860293564,0.030899759535012068,KURAMOTO,500,9,True
74,0.044238947134052076,0.12818718389726408,0.03066631569808611,KURAMOTO,500,9,True
75,0.060088293630572664,0.0948143311303315,0.032938795420078965,KURAMOTO,500,9,True
76,0.05502385631457418,0.08583845537139106,0.028249449811227106,KURAMOTO,500,9,True
77,0.05304208619385253,0.09373053836105266,0.030497282435206344,KURAMOTO,500,9,True
78,0.05049520162107779,0.08704572820382656,0.03088860229283118,KURAMOTO,500,9,True
79,0.050583776931605984,0.12541252172070666,0.03510720289255633,KURAMOTO,500,9,True
80,0.037604087742716175,0.11353555802824328,0.03634945876301141,KURAMOTO,500,9,True
81,0.050863292464250254,0.08417227287186274,0.03253487788589588,KURAMOTO,500,9,True
82,0.05155354188600825,0.09129241241193248,0.030068761282265856,KURAMOTO,500,9,True
83,0.055332476253865615,0.07033122988972612,0.032144826030176446,KURAMOTO,500,9,True
84,0.05575713150643846,0.10691152229093709,0.03254900033974043,KURAMOTO,500,9,True
85,0.05555245992180868,0.08893859949656341,0.03164314429560204,KURAMOTO,500,9,True
86,0.04770461018986308,0.07795909595372866,0.03161948862398479,KURAMOTO,500,9,True
87,0.04909882091508777,0.09848347402679386,0.031286949347594024,KURAMOTO,500,9,True
88,0.048885383097643675,0.07677832304594806,0.029610362928967696,KURAMOTO,500,9,True
89,0.04886506593387541,0.11334291536139757,0.03403101057064301,KURAMOTO,500,9,True
90,0.05061279649690409,0.07505090964668765,0.02642210623495682,KURAMOTO,500,9,True
91,0.051736957602735445,0.12876433136963555,0.03810118521462235,KURAMOTO,500,9,True
92,0.038178517098593545,0.08748518904499819,0.02880657206416605,KURAMOTO,500,9,True
93,0.05184232793220289,0.1025925737466144,0.0330437054059432,KURAMOTO,500,9,True
94,0.046556191112054,0.08126526561637631,0.034267219412523954,KURAMOTO,500,9,True
95,0.055763652226784366,0.06990005391680737,0.028871139271575433,KURAMOTO,500,9,True
96,0.05975101357051482,0.06943088262087044,0.03014956316144765,KURAMOTO,500,9,True
97,0.06219004756276103,0.09539144683558315,0.03110893258402845,KURAMOTO,500,9,True
98,0.05694812872336641,0.09097015557557703,0.03303136650358911,KURAMOTO,500,9,True
99,0.05294042799977472,0.07431890978591643,0.031457222428449165,KURAMOTO,500,9,True
100,0.05838342895635806,0.08535433274459275,0.027995484284968213,KURAMOTO,500,9,True
101,0.05221098145236258,0.08759643708299342,0.03460644843671985,KURAMOTO,500,9,True
102,0.06179095936211976,0.08181231817896356,0.029746966739255448,KURAMOTO,500,9,True
103,0.04166070747081996,0.11325344759052774,0.035675211287974976,KURAMOTO,500,9,True
104,0.055246004293597384,0.0996919751193987,0.03045118946672209,KURAMOTO,500,9,True
105,0.04617908657996317,0.0828657013600253,0.03420528064956344,KURAMOTO,500,9,True
106,0.05284107160232904,0.08436694670625006,0.033857338688896406,KURAMOTO,500,9,True
107,0.06872782029365532,0.07469419796382132,0.028759138494199227,KURAMOTO,500,9,True
108,0.04765947201096132,0.09431882668400865,0.030495630898356225,KURAMOTO,500,9,True
109,0.059377218677284516,0.09709528557098118,0.02859293877076782,KURAMOTO,500,9,True
110,0.057841601971015955,0.10743393470122026,0.031522037686700345,KURAMOTO,500,9,True
111,0.04921098662616119,0.08617912218174578,0.03761507330311582,KURAMOTO,500,9,True
112,0.0473339542916591,0.11364771799809431,0.032208087672361954,KURAMOTO,500,9,True
113,0.0646737002694,0.09733555018866741,0.029355329668866913,KURAMOTO,500,9,True
114,0.04936654771842086,0.07748334688963848,0.031552521746538574,KURAMOTO,500,9,True
