coupling_function,k,valid_run_count,failed_run_count,convergence_rate_percent,usable_rate_percent,converged_cycle_median,converged_cycle_q1,converged_cycle_q3,time_to_usable_median,time_to_usable_q1,time_to_usable_q3,post_convergence_fluctuation_median,post_convergence_fluctuation_q1,post_convergence_fluctuation_q3,overall_per_mean,overall_per_std,transient_per_mean,transient_per_std,steady_per_mean,steady_per_std
LINEAR_4,135.0,500,0,0.0,69.8,,,,93.0,59.0,133.0,,,,5.027466666666667,5.1012784465521515,,,,
LINEAR_4,136.0,500,0,0.0,68.6,,,,97.0,62.5,128.0,,,,5.2992888888888885,5.416999885884759,,,,
LINEAR_4,137.0,500,0,0.0,65.2,,,,90.0,61.0,126.75,,,,5.3614444444444445,5.27487343003247,,,,
LINEAR_4,138.0,500,0,0.0,62.6,,,,94.0,60.0,134.0,,,,5.541911111111111,5.488434159642298,,,,
LINEAR_4,139.0,500,0,0.0,60.6,,,,100.0,65.0,131.0,,,,5.568688888888889,5.161808204949065,,,,
LINEAR_4,140.0,500,0,0.0,59.6,,,,104.0,69.25,132.0,,,,5.598911111111112,5.123243570333824,,,,
LINEAR_4,141.0,500,0,0.0,58.6,,,,109.0,74.0,145.0,,,,5.831488888888889,5.2928726985730945,,,,
LINEAR_4,142.0,500,0,0.0,54.2,,,,100.0,71.0,135.0,,,,5.7928444444444445,5.031492809999643,,,,
LINEAR_4,143.0,500,0,0.0,49.6,,,,102.0,75.5,138.0,,,,6.058622222222223,5.470193450089748,,,,
LINEAR_4,144.0,500,0,0.0,46.8,,,,110.5,78.0,135.0,,,,6.105333333333332,5.374447378895461,,,,
LINEAR_4,145.0,500,0,0.0,46.4,,,,110.5,80.75,145.0,,,,6.293577777777778,5.358165580207277,,,,
LINEAR_4,146.0,500,0,0.0,45.4,,,,113.0,84.0,151.5,,,,6.4542222222222225,5.375209006837889,,,,
LINEAR_4,147.0,500,0,0.0,41.6,,,,108.0,78.5,143.0,,,,6.506200000000001,5.245162387737638,,,,
LINEAR_4,148.0,500,0,0.0,45.4,,,,114.0,82.5,150.0,,,,6.4652666666666665,5.180326050650077,,,,
LINEAR_4,149.0,500,0,0.0,32.8,,,,116.5,80.75,145.0,,,,6.7282222222222225,5.136819022624239,,,,
LINEAR_4,150.0,500,0,0.0,37.2,,,,108.0,77.0,143.75,,,,6.803111111111111,5.297333335612505,,,,
