k,residual_median,residual_q1,residual_q3,n_runs
43.0,0.02951610756730499,0.026086128967155897,0.03527157899494311,492
44.0,0.02990257985474666,0.02645527754668242,0.034754472885624624,486
45.0,0.0300932237790231,0.02675632491214655,0.03496553069189526,487
46.0,0.03032033348167013,0.027079618489490337,0.03535388657952398,488
47.0,0.030673468133255916,0.02751104434253053,0.03578255913004312,490
48.0,0.030843507691319206,0.027881122008110257,0.0354843885219218,490
49.0,0.031041151683588515,0.028129796084079815,0.03602010134628182,494
50.0,0.031457397847293185,0.028457386853041312,0.03600869470773533,486
51.0,0.031822959831265527,0.028907624649649882,0.03666503142330053,494
52.0,0.031876887231498605,0.02936777308718743,0.03653297860060987,487
53.0,0.03227118366999988,0.029766993685247024,0.03676701438394832,486
54.0,0.03261157213524403,0.03019897693764294,0.03674799174313361,491
55.0,0.0328710152704848,0.030686803243114284,0.03677900785763162,491
56.0,0.033369763525241125,0.03115089539187852,0.037157771595595544,490
57.0,0.03371542198747478,0.03157621415808705,0.03741624803833989,491
58.0,0.033958991323695405,0.03204887684385141,0.03764502317167419,491
59.0,0.034332916535795274,0.03257010569057496,0.03811327451236808,492
60.0,0.03471572427751026,0.03307700425423699,0.038416715158667056,493
61.0,0.03528976631520622,0.03366580895500166,0.03877267764733368,496
62.0,0.035636136236225635,0.03409940657324454,0.03896596007891717,492
63.0,0.035917633311264484,0.03468246245793258,0.038849209737712144,491
64.0,0.036427538406830676,0.03521687359413668,0.039425244174757804,489
65.0,0.036836629935624296,0.03580642962940514,0.039913824619230834,494
66.0,0.03733740084653145,0.03637035573621057,0.04037062004103751,493
67.0,0.037804355447164324,0.03690326261284418,0.040769567305933146,493
68.0,0.03833862879101675,0.037491302667752205,0.04060032187443742,492
69.0,0.03876288593545333,0.038073541032002355,0.041088512427982574,488
70.0,0.03922409114181092,0.038598950792984824,0.04136115007433728,482
71.0,0.039743492086685636,0.039179638963716734,0.04185599369290157,487
72.0,0.04030898516315308,0.03977685646940507,0.04223906941897401,487
