k,residual_median,residual_q1,residual_q3,residual_3min_median,residual_3min_q1,residual_3min_q3,n_runs
65.0,0.04208564410815037,0.040045984045620514,0.0453983683541018,0.04606961148374128,0.04291329466137839,0.04957131359723299,491
66.0,0.042513846578299055,0.0404474376787745,0.0460628505974394,0.04625726108748196,0.043198002924121195,0.04986741298899413,498
67.0,0.04286416695882456,0.04087174342577424,0.04596593437329889,0.04640464667653403,0.043551525330426215,0.049828115916581546,491
68.0,0.0432317077559356,0.041533170411458965,0.04644713174193342,0.046793030031457836,0.04392208399615504,0.05036817230123742,494
69.0,0.04364977912796856,0.04207336454245974,0.046785719641650195,0.046973068874692346,0.04422662093017941,0.05054879621190193,494
70.0,0.04415135944630909,0.0425669836443084,0.04738305552250684,0.047321725437802366,0.04449496347066022,0.05091911624194106,493
71.0,0.04442850705196781,0.04307316158037047,0.04779029284642439,0.047540497231637044,0.04493484806268108,0.0513061507216062,494
72.0,0.044943935858432225,0.043425367258869564,0.04784275636420032,0.047687516262497745,0.04510016284213976,0.051329669341826936,493
73.0,0.04542091525074397,0.04394785492138386,0.04861106723603635,0.04796651130152195,0.045532481040602216,0.05163106496104574,493
74.0,0.04589997127808389,0.044530786434654565,0.04885583309683338,0.048467681607170215,0.04584207592038636,0.052213015954342856,494
75.0,0.04617804198661407,0.04493936486298078,0.04903106481726888,0.04858109539418215,0.04594617319189821,0.05238430456211997,491
76.0,0.04668354116625002,0.045444547959383935,0.04958244259193273,0.048931988993920705,0.046169779601834174,0.0527090965857765,497
77.0,0.04713960675974932,0.046022908517758754,0.04957878157817552,0.04933866760951444,0.0463846605065048,0.05292490517421892,494
78.0,0.04758557750362018,0.046514299260821394,0.0505626664849183,0.049485798161888764,0.046792498456371893,0.05325907970930811,494
79.0,0.048103224839824016,0.04701942591037477,0.05044630552928774,0.04978124115926395,0.04718223970487499,0.053450356058022806,494
80.0,0.048656599093801337,0.04754224986401672,0.05067431732234394,0.05008628640100557,0.04757027618628292,0.053454648330251646,493
81.0,0.04914015417837432,0.04807438168209746,0.051413611667654895,0.050237962323323115,0.04793173347759105,0.05382712404339515,494
