coupling_function,k,valid_run_count,failed_run_count,convergence_rate_percent,usable_rate_percent,converged_cycle_median,converged_cycle_q1,converged_cycle_q3,time_to_usable_median,time_to_usable_q1,time_to_usable_q3,post_convergence_fluctuation_median,post_convergence_fluctuation_q1,post_convergence_fluctuation_q3,overall_per_mean,overall_per_std,transient_per_mean,transient_per_std,steady_per_mean,steady_per_std
KURAMOTO,1151.0,500,0,0.0,6.0,,,,170.0,170.0,170.0,,,,6.942977777777778,0.3984392992134723,,,,
KURAMOTO,1161.0,500,0,0.0,7.2,,,,170.0,170.0,170.0,,,,6.995911111111111,0.38651669785774234,,,,
KURAMOTO,1171.0,500,0,0.0,4.6,,,,170.0,170.0,170.0,,,,7.039866666666667,0.3871725103359492,,,,
KURAMOTO,1181.0,500,0,0.0,6.0,,,,170.0,170.0,170.0,,,,7.0905555555555555,0.35875582897421954,,,,
KURAMOTO,1191.0,500,0,0.0,5.4,,,,170.0,170.0,170.0,,,,7.137488888888889,0.38277151281804284,,,,
KURAMOTO,1201.0,500,0,0.0,6.0,,,,170.0,170.0,170.0,,,,7.191044444444445,0.3745233516270069,,,,
KURAMOTO,1211.0,500,0,0.0,6.8,,,,170.0,170.0,170.0,,,,7.252355555555556,0.40092933927306057,,,,
KURAMOTO,1221.0,500,0,0.0,5.6,,,,170.0,170.0,170.0,,,,7.2623999999999995,0.3980152745024084,,,,
KURAMOTO,1231.0,500,0,0.0,7.2,,,,170.0,170.0,170.0,,,,7.304600000000001,0.41334325209629236,,,,
KURAMOTO,1241.0,500,0,0.0,5.8,,,,170.0,170.0,170.0,,,,7.335644444444444,0.3872879117261312,,,,
KURAMOTO,1251.0,500,0,0.0,5.6,,,,170.0,170.0,170.0,,,,7.373088888888889,0.38778191465096,,,,
KURAMOTO,1261.0,500,0,0.0,5.8,,,,170.0,170.0,170.0,,,,7.410133333333334,0.402708035485607,,,,
KURAMOTO,1271.0,500,0,0.0,4.8,,,,170.0,170.0,170.0,,,,7.435333333333333,0.37236013424001385,,,,
KURAMOTO,1281.0,500,0,0.0,6.0,,,,170.0,170.0,170.0,,,,7.4812666666666665,0.3987708737518813,,,,
KURAMOTO,1291.0,500,0,0.0,6.0,,,,170.0,170.0,170.0,,,,7.474733333333334,0.38331420022665547,,,,
KURAMOTO,1301.0,500,0,0.0,7.8,,,,170.0,170.0,170.0,,,,7.5177555555555555,0.38440304857426033,,,,
KURAMOTO,1311.0,500,0,0.0,5.6,,,,170.0,170.0,170.0,,,,7.514555555555556,0.38735963914921756,,,,
KURAMOTO,1321.0,500,0,0.0,5.2,,,,170.0,170.0,170.0,,,,7.532155555555556,0.3905149014069579,,,,
KURAMOTO,1331.0,500,0,0.0,5.0,,,,170.0,170.0,170.0,,,,7.524511111111111,0.3944479042440493,,,,
KURAMOTO,1341.0,500,0,0.0,6.4,,,,170.0,170.0,170.0,,,,7.562177777777777,0.3859107238288734,,,,
KURAMOTO,1351.0,500,0,0.0,7.4,,,,170.0,170.0,170.0,,,,7.575644444444444,0.3884708660832779,,,,
KURAMOTO,1361.0,500,0,0.0,7.2,,,,170.0,170.0,170.0,,,,7.576444444444444,0.39162816776476034,,,,
KURAMOTO,1371.0,500,0,0.0,5.2,,,,170.0,170.0,170.0,,,,7.585133333333333,0.3728415629256018,,,,
KURAMOTO,1381.0,500,0,0.0,4.6,,,,170.0,170.0,170.0,,,,7.567311111111111,0.3695045867441008,,,,
KURAMOTO,1391.0,500,0,0.0,8.4,,,,170.0,170.0,170.0,,,,7.587266666666666,0.3858023462312082,,,,
KURAMOTO,1401.0,500,0,0.0,5.4,,,,170.0,170.0,170.0,,,,7.603111111111112,0.36443990960134326,,,,
KURAMOTO,1411.0,500,0,0.0,7.4,,,,170.0,170.0,170.0,,,,7.598733333333334,0.386345182146013,,,,
KURAMOTO,1421.0,500,0,0.0,3.8,,,,170.0,170.0,170.0,,,,7.603422222222221,0.36169841352830834,,,,
KURAMOTO,1431.0,500,0,0.0,6.8,,,,170.0,170.0,170.0,,,,7.622622222222223,0.35247684291006576,,,,
KURAMOTO,1441.0,500,0,0.0,5.8,,,,170.0,170.0,170.0,,,,7.579377777777777,0.36741306862658024,,,,
KURAMOTO,1451.0,500,0,0.0,8.4,,,,170.0,170.0,170.0,,,,7.577866666666667,0.33380800760655027,,,,
KURAMOTO,1461.0,500,0,0.0,6.0,,,,170.0,170.0,170.0,,,,7.584911111111111,0.3503773305061993,,,,
KURAMOTO,1471.0,500,0,0.0,5.8,,,,170.0,170.0,170.0,,,,7.606133333333333,0.3448803987229354,,,,
KURAMOTO,1481.0,500,0,0.0,4.6,,,,170.0,170.0,170.0,,,,7.588666666666666,0.33656041983984974,,,,
KURAMOTO,1491.0,500,0,0.0,7.4,,,,170.0,170.0,170.0,,,,7.606199999999999,0.36400602733521664,,,,
