coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,max_convergence_cycle_censored_median,max_convergence_rate_percent,mingap_convergence_cycle_censored_median,mingap_convergence_rate_percent,aux_mean_convergence_cycle_censored_median,aux_mean_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,simultaneous_collision_count_total,max_safe_k_ge95_lower,max_safe_k_ge95_upper,max_safe_k_ge95_values,max_safe_k_ge95_count,mingap_safe_k_ge95_lower,mingap_safe_k_ge95_upper,mingap_safe_k_ge95_values,mingap_safe_k_ge95_count,per_optimal_k
KURAMOTO,50,30.0,1000,8.422222222222222,137.0,4.0,96.0,94.39999999999999,,3.8,1.0,100.0,0.017477716411040015,0.06219596379959942,0.0007856204119966459,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,50.0,1000,6.727777777777778,121.0,10.5,60.0,99.7,,10.2,1.0,100.0,0.01219842361269875,0.0499744621437627,0.002553199605046075,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,70.0,1000,5.411111111111111,130.0,26.0,46.0,100.0,,25.4,1.0,100.0,0.010756951327485742,0.044878195368387844,0.007690726939635573,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,100.0,1000,3.827777777777778,120.0,70.89999999999999,35.0,100.0,138.0,68.8,1.0,100.0,0.010539226435806822,0.044920367181658705,0.09839018543768163,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,150.0,1000,2.1,73.0,99.0,28.0,100.0,68.0,98.9,1.0,100.0,0.011874232334662066,0.0475046805427862,0.09757567221920277,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,200.0,1000,1.3,46.0,100.0,28.0,100.0,40.0,100.0,1.0,100.0,0.01433500148802727,0.05709683819905492,0.09242329686268727,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,300.0,1000,0.7111111111111111,26.0,100.0,44.0,99.0,21.0,100.0,1.0,100.0,0.020145682932229313,0.07366484651231339,0.07958032615082322,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,500.0,1000,0.4444444444444444,18.0,100.0,,11.200000000000001,15.0,100.0,1.0,100.0,0.03155545994568651,0.10665470602528904,0.05451941623961702,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,700.0,1000,3.2111111111111112,112.0,35.5,,0.0,,0.1,1.0,100.0,0.04375916426200878,0.14813494517293951,0.025014612564112526,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,1000.0,1000,11.633333333333333,,0.0,,0.0,,0.0,1.0,100.0,0.05651436544917017,0.21459063726458766,0.0037144263574299397,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,1500.0,1000,13.855555555555556,,0.0,,0.0,,0.0,1.0,100.0,0.06430281690699101,0.26960558274580404,0.0031419542279834956,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,2000.0,1000,14.261111111111113,,0.0,,0.0,,0.0,1.0,100.0,0.06844318504370628,0.30975196203733313,0.002884005786481134,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
LINEAR,5,1.0,1000,0.0,10.0,98.8,,39.0,1.0,98.8,1.0,96.39999999999999,0.7379284167261997,1.3906563887818781,0.3852455277808433,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0
LINEAR,5,2.0,1000,0.0,10.0,99.2,,45.6,1.0,99.2,1.0,97.5,0.6768537350888335,1.2970590579362362,0.538336037920645,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0
LINEAR,5,3.0,1000,0.0,10.0,99.9,165.5,50.4,1.0,99.9,1.0,98.2,0.6194024232956317,1.2352611904927748,0.6743670756051404,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0
LINEAR,5,5.0,1000,0.0,10.0,100.0,100.0,55.400000000000006,1.0,100.0,1.0,99.6,0.5558452649701744,1.1741820841888866,0.8112690981685092,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0
LINEAR,5,7.0,1000,0.0,10.0,100.0,72.0,57.9,1.0,100.0,1.0,100.0,0.5484818412583681,1.1423144255175104,0.8117846572092349,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0
LINEAR,5,10.0,1000,0.0,10.0,100.0,51.0,58.699999999999996,1.0,100.0,1.0,100.0,0.5342259876150426,1.1306134806534438,0.8122861919978641,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0
LINEAR,5,15.0,1000,0.0,10.0,100.0,34.0,59.0,1.0,100.0,1.0,100.0,0.5327140353795281,1.1290509201154626,0.8129156815373773,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0
LINEAR,5,20.0,1000,0.0,10.0,100.0,26.0,58.9,1.0,100.0,1.0,100.0,0.5318116865099487,1.1287459202905017,0.8132916130787118,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0
LINEAR,5,30.0,1000,0.0,10.0,100.0,18.0,59.099999999999994,1.0,100.0,1.0,100.0,0.5298355010012524,1.1264587931791348,0.8145984179455132,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0
LINEAR,5,50.0,1000,0.0,10.0,100.0,11.0,60.0,1.0,100.0,1.0,100.0,0.5283796624499395,1.121175213299343,0.8165143110787563,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0
