function,label,k,time_to_usable_median,time_to_usable_q1,time_to_usable_q3,time_to_usable_median_min,time_to_usable_q1_min,time_to_usable_q3_min
KURAMOTO,Kuramoto,1051.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1061.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1071.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1081.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1091.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1101.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1111.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1121.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1131.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1141.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1151.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1161.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1171.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1181.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1191.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1201.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1211.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1221.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1231.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1241.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1251.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1261.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1271.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1281.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1291.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1301.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1311.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1321.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1331.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1341.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1351.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1361.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1371.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1381.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1391.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1401.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1411.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1421.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1431.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1441.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1451.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1461.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1471.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1481.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1491.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
LINEAR,Frog chorus,1.0,105.5,67.75,137.25,17.583333333333332,11.291666666666666,22.875
LINEAR,Frog chorus,2.0,85.0,53.0,129.0,14.166666666666666,8.833333333333334,21.5
LINEAR,Frog chorus,3.0,71.0,44.25,105.0,11.833333333333334,7.375,17.5
LINEAR,Frog chorus,4.0,58.0,36.0,85.0,9.666666666666666,6.0,14.166666666666666
LINEAR,Frog chorus,5.0,47.0,30.0,71.0,7.833333333333333,5.0,11.833333333333334
LINEAR,Frog chorus,6.0,41.0,26.0,59.0,6.833333333333333,4.333333333333333,9.833333333333334
LINEAR,Frog chorus,7.0,36.0,23.0,50.0,6.0,3.8333333333333335,8.333333333333334
LINEAR,Frog chorus,8.0,31.5,21.0,45.0,5.25,3.5,7.5
LINEAR,Frog chorus,9.0,28.0,20.0,41.0,4.666666666666667,3.3333333333333335,6.833333333333333
LINEAR,Frog chorus,10.0,26.0,19.0,37.0,4.333333333333333,3.1666666666666665,6.166666666666667
LINEAR,Frog chorus,11.0,25.0,18.0,34.0,4.166666666666667,3.0,5.666666666666667
LINEAR,Frog chorus,12.0,23.0,17.0,31.25,3.8333333333333335,2.8333333333333335,5.208333333333333
LINEAR,Frog chorus,13.0,22.0,16.0,30.0,3.6666666666666665,2.6666666666666665,5.0
LINEAR,Frog chorus,14.0,21.0,15.0,28.0,3.5,2.5,4.666666666666667
LINEAR,Frog chorus,15.0,20.0,15.0,27.0,3.3333333333333335,2.5,4.5
LINEAR,Frog chorus,16.0,19.0,15.0,26.0,3.1666666666666665,2.5,4.333333333333333
LINEAR,Frog chorus,17.0,18.0,14.0,25.0,3.0,2.3333333333333335,4.166666666666667
