function,label,k,usable_rate_percent
LINEAR_4,Frog chorus (x4),27.0,95.4
LINEAR_4,Frog chorus (x4),28.0,95.8
LINEAR_4,Frog chorus (x4),29.0,96.4
LINEAR_4,Frog chorus (x4),30.0,95.2
LINEAR_4,Frog chorus (x4),31.0,95.6
LINEAR_4,Frog chorus (x4),32.0,96.2
LINEAR_4,Frog chorus (x4),33.0,95.6
LINEAR_4,Frog chorus (x4),34.0,96.2
LINEAR_4,Frog chorus (x4),35.0,95.6
LINEAR_4,Frog chorus (x4),36.0,95.2
LINEAR_4,Frog chorus (x4),37.0,95.4
LINEAR_4,Frog chorus (x4),38.0,94.8
LINEAR_4,Frog chorus (x4),39.0,94.4
LINEAR_4,Frog chorus (x4),40.0,94.2
LINEAR_4,Frog chorus (x4),41.0,94.2
LINEAR_4,Frog chorus (x4),42.0,94.2
LINEAR_4,Frog chorus (x4),43.0,93.6
LINEAR_4,Frog chorus (x4),44.0,93.6
LINEAR_4,Frog chorus (x4),45.0,93.4
LINEAR_4,Frog chorus (x4),46.0,93.2
LINEAR_4,Frog chorus (x4),47.0,93.2
LINEAR_4,Frog chorus (x4),48.0,92.6
LINEAR_4,Frog chorus (x4),49.0,92.4
LINEAR_4,Frog chorus (x4),50.0,93.2
LINEAR_4,Frog chorus (x4),51.0,91.4
LINEAR_4,Frog chorus (x4),52.0,93.2
LINEAR_4,Frog chorus (x4),53.0,92.6
LINEAR_4,Frog chorus (x4),54.0,91.8
LINEAR_4,Frog chorus (x4),55.0,91.8
LINEAR_4,Frog chorus (x4),56.0,91.0
LINEAR_4,Frog chorus (x4),57.0,91.2
LINEAR_4,Frog chorus (x4),58.0,90.8
LINEAR_4,Frog chorus (x4),59.0,91.0
LINEAR_4,Frog chorus (x4),60.0,90.0
LINEAR_4,Frog chorus (x4),61.0,88.6
LINEAR_4,Frog chorus (x4),62.0,90.4
LINEAR_4,Frog chorus (x4),63.0,90.2
LINEAR_4,Frog chorus (x4),64.0,90.4
LINEAR_4,Frog chorus (x4),65.0,90.2
LINEAR_4,Frog chorus (x4),66.0,88.8
LINEAR_4,Frog chorus (x4),67.0,90.0
LINEAR_4,Frog chorus (x4),68.0,89.8
LINEAR_4,Frog chorus (x4),69.0,90.2
LINEAR_4,Frog chorus (x4),70.0,91.0
LINEAR_4,Frog chorus (x4),71.0,91.2
LINEAR_4,Frog chorus (x4),72.0,90.8
LINEAR_4,Frog chorus (x4),73.0,89.4
LINEAR_4,Frog chorus (x4),74.0,90.8
LINEAR_4,Frog chorus (x4),75.0,89.4
LINEAR_4,Frog chorus (x4),76.0,88.8
LINEAR_4,Frog chorus (x4),77.0,90.2
LINEAR_4,Frog chorus (x4),78.0,90.6
LINEAR_4,Frog chorus (x4),79.0,88.6
LINEAR_4,Frog chorus (x4),80.0,89.4
LINEAR_4,Frog chorus (x4),81.0,89.2
LINEAR_4,Frog chorus (x4),82.0,90.0
LINEAR_4,Frog chorus (x4),83.0,89.8
LINEAR_4,Frog chorus (x4),84.0,88.8
LINEAR_4,Frog chorus (x4),85.0,89.4
LINEAR_4,Frog chorus (x4),86.0,90.6
LINEAR_4,Frog chorus (x4),87.0,90.0
LINEAR_4,Frog chorus (x4),88.0,90.0
LINEAR_4,Frog chorus (x4),89.0,89.4
LINEAR_4,Frog chorus (x4),90.0,89.6
LINEAR_4,Frog chorus (x4),91.0,90.0
LINEAR_4,Frog chorus (x4),92.0,90.2
LINEAR_4,Frog chorus (x4),93.0,90.2
LINEAR_4,Frog chorus (x4),94.0,90.0
LINEAR_4,Frog chorus (x4),95.0,90.2
LINEAR_4,Frog chorus (x4),96.0,90.0
LINEAR_4,Frog chorus (x4),97.0,89.6
LINEAR_4,Frog chorus (x4),98.0,89.8
LINEAR_4,Frog chorus (x4),99.0,89.8
LINEAR_4,Frog chorus (x4),100.0,89.8
LINEAR_4,Frog chorus (x4),101.0,90.0
LINEAR_4,Frog chorus (x4),102.0,89.2
LINEAR_4,Frog chorus (x4),103.0,89.4
LINEAR_4,Frog chorus (x4),104.0,89.0
LINEAR_4,Frog chorus (x4),105.0,90.0
LINEAR_4,Frog chorus (x4),106.0,89.6
LINEAR_4,Frog chorus (x4),107.0,88.0
LINEAR_4,Frog chorus (x4),108.0,90.2
LINEAR_4,Frog chorus (x4),109.0,91.4
LINEAR_4,Frog chorus (x4),110.0,89.4
LINEAR_4,Frog chorus (x4),111.0,89.4
LINEAR_4,Frog chorus (x4),112.0,89.6
LINEAR_4,Frog chorus (x4),113.0,89.2
LINEAR_4,Frog chorus (x4),114.0,89.0
LINEAR_4,Frog chorus (x4),115.0,89.8
LINEAR_4,Frog chorus (x4),116.0,88.8
LINEAR_4,Frog chorus (x4),117.0,88.8
LINEAR_4,Frog chorus (x4),118.0,89.2
LINEAR_4,Frog chorus (x4),119.0,89.6
LINEAR_4,Frog chorus (x4),120.0,88.6
LINEAR_4,Frog chorus (x4),121.0,89.4
LINEAR_4,Frog chorus (x4),122.0,89.6
LINEAR_4,Frog chorus (x4),123.0,88.2
LINEAR_4,Frog chorus (x4),124.0,86.8
LINEAR_4,Frog chorus (x4),125.0,86.4
LINEAR_4,Frog chorus (x4),126.0,85.2
LINEAR_4,Frog chorus (x4),127.0,85.2
LINEAR_4,Frog chorus (x4),128.0,80.6
LINEAR_4,Frog chorus (x4),129.0,79.4
LINEAR_4,Frog chorus (x4),130.0,84.0
LINEAR_4,Frog chorus (x4),131.0,79.8
LINEAR_4,Frog chorus (x4),132.0,76.2
LINEAR_4,Frog chorus (x4),133.0,72.8
LINEAR_4,Frog chorus (x4),134.0,77.0
LINEAR_4,Frog chorus (x4),135.0,69.8
LINEAR_4,Frog chorus (x4),136.0,68.6
LINEAR_4,Frog chorus (x4),137.0,65.2
LINEAR_4,Frog chorus (x4),138.0,62.6
LINEAR_4,Frog chorus (x4),139.0,60.6
LINEAR_4,Frog chorus (x4),140.0,59.6
LINEAR_4,Frog chorus (x4),141.0,58.6
LINEAR_4,Frog chorus (x4),142.0,54.2
LINEAR_4,Frog chorus (x4),143.0,49.6
LINEAR_4,Frog chorus (x4),144.0,46.8
LINEAR_4,Frog chorus (x4),145.0,46.4
LINEAR_4,Frog chorus (x4),146.0,45.4
LINEAR_4,Frog chorus (x4),147.0,41.6
LINEAR_4,Frog chorus (x4),148.0,45.4
LINEAR_4,Frog chorus (x4),149.0,32.8
LINEAR_4,Frog chorus (x4),150.0,37.2
NewSIN,NewSIN,1.0,60.4
NewSIN,NewSIN,2.0,96.6
NewSIN,NewSIN,3.0,99.2
NewSIN,NewSIN,4.0,99.6
NewSIN,NewSIN,5.0,99.6
NewSIN,NewSIN,6.0,99.4
NewSIN,NewSIN,7.0,99.6
NewSIN,NewSIN,8.0,99.8
NewSIN,NewSIN,9.0,99.6
NewSIN,NewSIN,10.0,99.6
NewSIN,NewSIN,11.0,99.6
NewSIN,NewSIN,12.0,99.4
NewSIN,NewSIN,13.0,99.0
NewSIN,NewSIN,14.0,99.2
NewSIN,NewSIN,15.0,99.6
NewSIN,NewSIN,16.0,99.8
NewSIN,NewSIN,17.0,99.4
NewSIN,NewSIN,18.0,99.0
NewSIN,NewSIN,19.0,99.0
NewSIN,NewSIN,20.0,99.2
NewSIN,NewSIN,21.0,99.6
NewSIN,NewSIN,22.0,99.2
NewSIN,NewSIN,23.0,99.4
NewSIN,NewSIN,24.0,99.4
NewSIN,NewSIN,25.0,99.2
NewSIN,NewSIN,26.0,99.2
NewSIN,NewSIN,27.0,98.8
NewSIN,NewSIN,28.0,99.0
NewSIN,NewSIN,29.0,98.8
NewSIN,NewSIN,30.0,98.4
NewSIN,NewSIN,31.0,98.4
NewSIN,NewSIN,32.0,99.0
NewSIN,NewSIN,33.0,98.6
NewSIN,NewSIN,34.0,98.8
NewSIN,NewSIN,35.0,98.6
NewSIN,NewSIN,36.0,99.2
NewSIN,NewSIN,37.0,98.4
NewSIN,NewSIN,38.0,98.8
NewSIN,NewSIN,39.0,99.0
NewSIN,NewSIN,40.0,99.4
NewSIN,NewSIN,41.0,98.4
NewSIN,NewSIN,42.0,98.2
NewSIN,NewSIN,43.0,97.6
NewSIN,NewSIN,44.0,98.6
NewSIN,NewSIN,45.0,97.2
NewSIN,NewSIN,46.0,98.8
NewSIN,NewSIN,47.0,98.0
