condition,function,label,reference_device_id,reference_initial_event_time_ms,cycle_index,device_id,device_event_time_ms,phase_diff_rad,reference_phase_diff_rad,phase_diff_rebased_rad
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,41,11300.978,0.0382759082542763,0.0156765473414135,0.022599360912862743
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,42,11301.976,0.0389029701479338,0.0156765473414135,0.02322642280652021
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,43,11302.974,0.03953003204159,0.0156765473414135,0.02385348470017634
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,44,11303.972,0.0401570939352463,0.0156765473414135,0.02448054659383292
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,45,11304.97,0.0407841558289026,0.0156765473414135,0.025107608487489053
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,46,11305.968,0.04141121772256,0.0156765473414135,0.02573467038114652
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,47,11306.966,0.0420382796162162,0.0156765473414135,0.02636173227480265
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,48,11307.964,0.0426653415098725,0.0156765473414135,0.026988794168458785
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,49,11308.962,0.0432924034035288,0.0156765473414135,0.027615856062115363
uniform_1ms,LINEAR,frog chorus based,25,1275.0,3,0,21230.11984,0.0,0.0156451942467318,-0.01564519424673172
uniform_1ms,LINEAR,frog chorus based,25,1275.0,3,1,21251.015964,0.0131294219293796,0.0156451942467318,-0.0025157723173521163
uniform_1ms,LINEAR,frog chorus based,25,1275.0,3,2,21252.011968,0.0137552296992491,0.0156451942467318,-0.001889964547482581
uniform_1ms,LINEAR,frog chorus based,25,1275.0,3,3,21253.007972,0.0143810374691187,0.0156451942467318,-0.0012641567776130458
uniform_1ms,LINEAR,frog chorus based,25,1275.0,3,4,21254.003976,0.0150068452389882,0.0156451942467318,-0.0006383490077435106
uniform_1ms,LINEAR,frog chorus based,25,1275.0,3,5,21254.99998,0.0156326530088555,0.0156451942467318,-1.2541237876195765e-05
uniform_1ms,LINEAR,frog chorus based,25,1275.0,3,6,21255.995984,0.016258460778725,0.0156451942467318,0.0006132665319933395
uniform_1ms,LINEAR,frog chorus based,25,1275.0,3,7,21256.991988,0.0168842685485969,0.0156451942467318,0.0012390743018650952
uniform_1ms,LINEAR,frog chorus based,25,1275.0,3,8,21257.987992,0.0175100763184664,0.0156451942467318,0.0018648820717346304
uniform_1ms,LINEAR,frog chorus based,25,1275.0,3,9,21258.983996,0.0181358840883337,0.0156451942467318,0.002490689841601945
uniform_1ms,LINEAR,frog chorus based,25,1275.0,3,10,21279.92016,0.0312904638916832,0.0156451942467318,0.015645269644951387
uniform_1ms,LINEAR,frog chorus based,25,1275.0,3,11,21280.976004,0.0319538702424319,0.0156451942467318,0.016308675995700295
uniform_1ms,LINEAR,frog chorus based,25,1275.0,3,12,21281.972008,0.0325796780123015,0.0156451942467318,0.01693448376556983
