function,label,k,overall_per_mean,residual_median,residual_3min_median
LINEAR_4,modified frog chorus based,86.0,2.497866666666667,0.0483325559681614,0.049819355619025
LINEAR_4,modified frog chorus based,87.0,2.511266666666667,0.0489251856497975,0.0502585925990453
LINEAR_4,modified frog chorus based,88.0,2.374355555555556,0.0494370771154814,0.0504136851588618
LINEAR_4,modified frog chorus based,89.0,2.5,0.0500874783318318,0.0510418075497199
LINEAR_4,modified frog chorus based,90.0,2.4874666666666663,0.0506439625210233,0.0514738459290269
LINEAR_4,modified frog chorus based,91.0,2.6208444444444443,0.0512321906296324,0.0519305723233948
LINEAR_4,modified frog chorus based,92.0,2.540688888888889,0.0518023244232839,0.0523946378538995
LINEAR_4,modified frog chorus based,93.0,2.607955555555556,0.052440872360982,0.0524758051870936
LINEAR_4,modified frog chorus based,94.0,2.603644444444445,0.0530203617588294,0.0528965531633794
LINEAR_4,modified frog chorus based,95.0,2.653555555555556,0.0536591191707902,0.0531033632262482
LINEAR_4,modified frog chorus based,96.0,2.748266666666667,0.0542405812776822,0.0534916370641531
LINEAR_4,modified frog chorus based,97.0,2.761355555555556,0.0548574693270516,0.0539334771768923
LINEAR_4,modified frog chorus based,98.0,2.8112888888888894,0.0553962273596496,0.0543931276032215
LINEAR_4,modified frog chorus based,99.0,2.8302222222222224,0.0559478486740682,0.0548334394220265
LINEAR_4,modified frog chorus based,100.0,2.881377777777778,0.056671107401787,0.0551335209010852
LINEAR_4,modified frog chorus based,101.0,2.942355555555556,0.0571833693518632,0.0554281797252146
LINEAR_4,modified frog chorus based,102.0,2.934311111111111,0.0578643292593493,0.0559892518661716
LINEAR_4,modified frog chorus based,103.0,2.923955555555555,0.0584530481833501,0.0562823032247432
LINEAR_4,modified frog chorus based,104.0,2.927688888888889,0.0592188897279841,0.0569020659451892
LINEAR_4,modified frog chorus based,105.0,2.926711111111111,0.0597488335878289,0.0572414441243036
LINEAR_4,modified frog chorus based,106.0,3.040977777777778,0.0603976187664589,0.0577073692833077
LINEAR_4,modified frog chorus based,107.0,3.0116,0.0610647108730344,0.0581174300312335
LINEAR_4,modified frog chorus based,108.0,3.113866666666667,0.0616370103637297,0.0586203052531043
LINEAR_4,modified frog chorus based,109.0,3.2719333333333336,0.0622804905216217,0.0591301835583267
LINEAR_4,modified frog chorus based,110.0,3.250333333333333,0.0629260965701161,0.0595606616004459
LINEAR_4,modified frog chorus based,111.0,3.404200000000001,0.0635616991311545,0.0596544415609249
LINEAR_4,modified frog chorus based,112.0,3.3204888888888893,0.0642704408105999,0.0602163297392886
