condition,function,label,cycle_index,device_id,phase_diff_rad,phase_diff_wrapped_rad
uniform_1ms,KURAMOTO,Kuramoto based,2,49,0.0418327722725179,0.041832772272517804
uniform_1ms,KURAMOTO,Kuramoto based,3,0,0.0,0.0
uniform_1ms,KURAMOTO,Kuramoto based,3,1,0.0170621894077537,0.017062189407753614
uniform_1ms,KURAMOTO,Kuramoto based,3,2,0.0182222159500388,0.018222215950038922
uniform_1ms,KURAMOTO,Kuramoto based,3,3,0.0193822400357005,0.019382240035700438
uniform_1ms,KURAMOTO,Kuramoto based,3,4,0.0138281353862373,0.013828135386237506
uniform_1ms,KURAMOTO,Kuramoto based,3,5,0.0149881606729388,0.014988160672938733
uniform_1ms,KURAMOTO,Kuramoto based,3,6,0.0161481873642678,0.01614818736426793
uniform_1ms,KURAMOTO,Kuramoto based,3,7,0.0173082151160502,0.017308215116050185
uniform_1ms,KURAMOTO,Kuramoto based,3,8,0.018468243584123,0.018468243584123023
uniform_1ms,KURAMOTO,Kuramoto based,3,9,0.0196282724243165,0.019628272424316417
uniform_1ms,KURAMOTO,Kuramoto based,3,10,0.0207883012924676,0.020788301292467448
uniform_1ms,KURAMOTO,Kuramoto based,3,11,0.0219483298444022,0.021948329844402092
uniform_1ms,KURAMOTO,Kuramoto based,3,12,0.0231083577359619,0.02310835773596187
uniform_1ms,KURAMOTO,Kuramoto based,3,13,0.0242683846229722,0.024268384622972317
uniform_1ms,KURAMOTO,Kuramoto based,3,14,0.0321422444139963,0.03214224441399649
uniform_1ms,KURAMOTO,Kuramoto based,3,15,0.0265884340067027,0.026588434006702855
uniform_1ms,KURAMOTO,Kuramoto based,3,16,0.0185597125612976,0.018559712561297736
uniform_1ms,KURAMOTO,Kuramoto based,3,17,0.0197197348470329,0.01971973484703282
uniform_1ms,KURAMOTO,Kuramoto based,3,18,0.0208797598033457,0.020879759803345888
uniform_1ms,KURAMOTO,Kuramoto based,3,19,0.0220397870860754,0.022039787086075346
uniform_1ms,KURAMOTO,Kuramoto based,3,20,0.0231998163510568,0.023199816351056946
uniform_1ms,KURAMOTO,Kuramoto based,3,21,0.0243598472541362,0.024359847254136202
uniform_1ms,KURAMOTO,Kuramoto based,3,22,0.0255198794511369,0.025519879451136873
uniform_1ms,KURAMOTO,Kuramoto based,3,23,0.0266799125979006,0.02667991259790048
uniform_1ms,KURAMOTO,Kuramoto based,3,24,0.0278399463502529,0.027839946350252998
uniform_1ms,KURAMOTO,Kuramoto based,3,25,0.0289999803640333,0.028999980364033284
uniform_1ms,KURAMOTO,Kuramoto based,3,26,0.0301600142950582,0.03016001429505799
uniform_1ms,KURAMOTO,Kuramoto based,3,27,0.0313200477991648,0.03132004779916464
uniform_1ms,KURAMOTO,Kuramoto based,3,28,0.0324800805321832,0.03248008053218321
uniform_1ms,KURAMOTO,Kuramoto based,3,29,0.0336401121499415,0.03364011214994145
uniform_1ms,KURAMOTO,Kuramoto based,3,30,0.0372258623420527,0.03722586234205272
uniform_1ms,KURAMOTO,Kuramoto based,3,31,0.0359601706630077,0.035960170663007496
uniform_1ms,KURAMOTO,Kuramoto based,3,32,0.0371201968699828,0.0371201968699828
uniform_1ms,KURAMOTO,Kuramoto based,3,33,0.0315176677698652,0.0315176677698652
uniform_1ms,KURAMOTO,Kuramoto based,3,34,0.0326776913077761,0.03267769130777598
uniform_1ms,KURAMOTO,Kuramoto based,3,35,0.0338377165944775,0.03383771659447765
uniform_1ms,KURAMOTO,Kuramoto based,3,36,0.0349977432858066,0.034997743285806404
uniform_1ms,KURAMOTO,Kuramoto based,3,37,0.036157771037589,0.036157771037589104
uniform_1ms,KURAMOTO,Kuramoto based,3,38,0.0373177995056618,0.03731779950566194
uniform_1ms,KURAMOTO,Kuramoto based,3,39,0.0384778283458552,0.038477828345855336
uniform_1ms,KURAMOTO,Kuramoto based,3,40,0.0396378572140064,0.03963785721400637
uniform_1ms,KURAMOTO,Kuramoto based,3,41,0.040797885765941,0.04079788576594101
uniform_1ms,KURAMOTO,Kuramoto based,3,42,0.0419579136575006,0.04195791365750079
uniform_1ms,KURAMOTO,Kuramoto based,3,43,0.043117940544511,0.04311794054451079
uniform_1ms,KURAMOTO,Kuramoto based,3,44,0.0510402185572946,0.05104021855729446
uniform_1ms,KURAMOTO,Kuramoto based,3,45,0.0454379899282414,0.04543798992824133
uniform_1ms,KURAMOTO,Kuramoto based,3,46,0.0465980117366402,0.04659801173664002
uniform_1ms,KURAMOTO,Kuramoto based,3,47,0.0477580311638565,0.04775803116385635
uniform_1ms,KURAMOTO,Kuramoto based,3,48,0.0489180478657317,0.04891804786573184
uniform_1ms,KURAMOTO,Kuramoto based,3,49,0.0500780614981191,0.05007806149811911
uniform_1ms,KURAMOTO,Kuramoto based,4,0,0.0,0.0
uniform_1ms,KURAMOTO,Kuramoto based,4,1,0.0231832125914253,0.023183212591425306
uniform_1ms,KURAMOTO,Kuramoto based,4,2,0.024759421552965,0.024759421552964955
uniform_1ms,KURAMOTO,Kuramoto based,4,3,0.0263356272952964,0.026335627295296593
uniform_1ms,KURAMOTO,Kuramoto based,4,4,0.0187888832008889,0.018788883200889117
uniform_1ms,KURAMOTO,Kuramoto based,4,5,0.0203650871681223,0.020365087168122464
uniform_1ms,KURAMOTO,Kuramoto based,4,6,0.0219412947240378,0.021941294724037608
uniform_1ms,KURAMOTO,Kuramoto based,4,7,0.0235175048409468,0.023517504840946835
uniform_1ms,KURAMOTO,Kuramoto based,4,8,0.0317191893982214,0.03171918939822138
uniform_1ms,KURAMOTO,Kuramoto based,4,9,0.0266699286470233,0.026669928647023333
uniform_1ms,KURAMOTO,Kuramoto based,4,10,0.0282461402808206,0.02824614028082051
uniform_1ms,KURAMOTO,Kuramoto based,4,11,0.0298223503648642,0.029822350364864025
uniform_1ms,KURAMOTO,Kuramoto based,4,12,0.0313985578714839,0.031398557871483934
uniform_1ms,KURAMOTO,Kuramoto based,4,13,0.0329747617729957,0.03297476177299563
uniform_1ms,KURAMOTO,Kuramoto based,4,14,0.0369817852865117,0.03698178528651175
uniform_1ms,KURAMOTO,Kuramoto based,4,15,0.0361271546500604,0.036127154650060334
uniform_1ms,KURAMOTO,Kuramoto based,4,16,0.0252180017823614,0.025218001782361554
uniform_1ms,KURAMOTO,Kuramoto based,4,17,0.0267942050083937,0.02679420500839358
uniform_1ms,KURAMOTO,Kuramoto based,4,18,0.028370411258929,0.028370411258928918
uniform_1ms,KURAMOTO,Kuramoto based,4,19,0.0299466195062904,0.029946619506290517
uniform_1ms,KURAMOTO,Kuramoto based,4,20,0.0315228287227916,0.03152282872279155
