function,label,k,overall_per_mean
LINEAR,frog chorus based,23.0,1.1753777777777776
LINEAR,frog chorus based,24.0,1.1834
LINEAR,frog chorus based,25.0,1.2280666666666669
LINEAR,frog chorus based,26.0,1.281177777777778
LINEAR,frog chorus based,27.0,1.3968000000000005
LINEAR,frog chorus based,28.0,1.4054222222222224
LINEAR,frog chorus based,29.0,1.4364222222222225
LINEAR,frog chorus based,30.0,1.4973555555555558
LINEAR,frog chorus based,31.0,1.5172
LINEAR,frog chorus based,32.0,1.4611555555555555
LINEAR,frog chorus based,33.0,1.4774222222222222
LINEAR,frog chorus based,34.0,1.4868444444444444
LINEAR,frog chorus based,35.0,1.5093777777777777
LINEAR,frog chorus based,36.0,1.5208444444444449
LINEAR,frog chorus based,37.0,1.5972222222222223
LINEAR,frog chorus based,38.0,1.648244444444445
LINEAR,frog chorus based,39.0,1.6316222222222228
LINEAR,frog chorus based,40.0,1.6677333333333335
LINEAR,frog chorus based,41.0,1.711377777777778
LINEAR,frog chorus based,42.0,1.690466666666667
LINEAR,frog chorus based,43.0,1.8005777777777785
LINEAR,frog chorus based,44.0,1.7964222222222224
LINEAR,frog chorus based,45.0,1.9531111111111112
LINEAR,frog chorus based,46.0,1.9176222222222228
LINEAR,frog chorus based,47.0,2.0200000000000005
LINEAR,frog chorus based,48.0,2.059488888888889
LINEAR,frog chorus based,49.0,2.0457333333333336
LINEAR,frog chorus based,50.0,2.0537333333333336
LINEAR,frog chorus based,51.0,2.048711111111112
LINEAR,frog chorus based,52.0,2.0962
LINEAR,frog chorus based,53.0,2.234866666666667
LINEAR,frog chorus based,54.0,2.2348666666666674
LINEAR,frog chorus based,55.0,2.223333333333333
LINEAR,frog chorus based,56.0,2.337355555555556
LINEAR,frog chorus based,57.0,2.3882
LINEAR,frog chorus based,58.0,2.451955555555555
LINEAR,frog chorus based,59.0,2.491511111111111
LINEAR,frog chorus based,60.0,2.592488888888889
LINEAR,frog chorus based,61.0,2.601488888888889
LINEAR,frog chorus based,62.0,2.6894444444444443
LINEAR,frog chorus based,63.0,2.7407111111111115
LINEAR,frog chorus based,64.0,2.7974666666666668
LINEAR,frog chorus based,65.0,2.8634
LINEAR,frog chorus based,66.0,2.877666666666666
LINEAR,frog chorus based,67.0,2.965044444444444
LINEAR,frog chorus based,68.0,2.993266666666667
LINEAR,frog chorus based,69.0,3.090844444444445
LINEAR,frog chorus based,70.0,3.0860222222222222
LINEAR,frog chorus based,71.0,3.1542222222222227
LINEAR,frog chorus based,72.0,3.1868
LINEAR,frog chorus based,73.0,3.244133333333333
LINEAR,frog chorus based,74.0,3.290222222222223
LINEAR,frog chorus based,75.0,3.434022222222222
LINEAR,frog chorus based,76.0,3.484066666666666
LINEAR,frog chorus based,77.0,3.5987111111111107
LINEAR,frog chorus based,78.0,3.5758444444444444
LINEAR,frog chorus based,79.0,3.649644444444444
LINEAR,frog chorus based,80.0,3.647844444444445
LINEAR,frog chorus based,81.0,3.7045777777777777
LINEAR,frog chorus based,82.0,3.785288888888889
LINEAR,frog chorus based,83.0,3.927133333333334
LINEAR,frog chorus based,84.0,3.888888888888889
LINEAR,frog chorus based,85.0,4.026977777777778
LINEAR,frog chorus based,86.0,4.118311111111112
LINEAR,frog chorus based,87.0,4.253466666666666
LINEAR,frog chorus based,88.0,4.259399999999999
LINEAR,frog chorus based,89.0,4.2966444444444445
LINEAR,frog chorus based,90.0,4.3056
LINEAR,frog chorus based,91.0,4.481888888888888
LINEAR,frog chorus based,92.0,4.3967777777777775
LINEAR,frog chorus based,93.0,4.5504444444444445
LINEAR,frog chorus based,94.0,4.704244444444445
