function,label,delta_rad,coupling_value
LINEAR_4,modified frog chorus based,-1.5969762655748114,-0.9666666666666668
LINEAR_4,modified frog chorus based,-1.5882496193148399,-0.9777777777777779
LINEAR_4,modified frog chorus based,-1.579522973054868,-0.9888888888888889
LINEAR_4,modified frog chorus based,-1.5707963267948966,-1.0
LINEAR_4,modified frog chorus based,-1.5620696805349248,0.9888888888888887
LINEAR_4,modified frog chorus based,-1.5533430342749532,0.9777777777777779
LINEAR_4,modified frog chorus based,-1.5446163880149817,0.9666666666666668
LINEAR_4,modified frog chorus based,-1.53588974175501,0.9555555555555555
LINEAR_4,modified frog chorus based,-1.5271630954950384,0.9444444444444444
LINEAR_4,modified frog chorus based,-1.5184364492350666,0.9333333333333333
LINEAR_4,modified frog chorus based,-1.509709802975095,0.9222222222222223
LINEAR_4,modified frog chorus based,-1.5009831567151233,0.911111111111111
LINEAR_4,modified frog chorus based,-1.4922565104551517,0.8999999999999999
LINEAR_4,modified frog chorus based,-1.48352986419518,0.8888888888888888
LINEAR_4,modified frog chorus based,-1.4748032179352084,0.8777777777777778
LINEAR_4,modified frog chorus based,-1.4660765716752366,0.8666666666666665
LINEAR_4,modified frog chorus based,-1.457349925415265,0.8555555555555554
LINEAR_4,modified frog chorus based,-1.4486232791552935,0.8444444444444446
LINEAR_4,modified frog chorus based,-1.4398966328953218,0.8333333333333333
LINEAR_4,modified frog chorus based,-1.4311699866353502,0.8222222222222222
LINEAR_4,modified frog chorus based,-1.4224433403753785,0.8111111111111109
LINEAR_4,modified frog chorus based,-1.413716694115407,0.8
LINEAR_4,modified frog chorus based,-1.4049900478554351,0.7888888888888888
LINEAR_4,modified frog chorus based,-1.3962634015954636,0.7777777777777777
LINEAR_4,modified frog chorus based,-1.3875367553354918,0.7666666666666664
LINEAR_4,modified frog chorus based,-1.3788101090755203,0.7555555555555555
LINEAR_4,modified frog chorus based,-1.3700834628155487,0.7444444444444445
LINEAR_4,modified frog chorus based,-1.361356816555577,0.7333333333333332
LINEAR_4,modified frog chorus based,-1.3526301702956054,0.7222222222222223
LINEAR_4,modified frog chorus based,-1.3439035240356336,0.711111111111111
LINEAR_4,modified frog chorus based,-1.335176877775662,0.7
