function,label,k,overall_per_mean,residual_median,residual_3min_median
NewSIN,1-sin based,107.0,1.887155555555556,0.0620463385856402,0.0587827527572602
NewSIN,1-sin based,108.0,1.910177777777778,0.0625943578099842,0.0589558859292003
NewSIN,1-sin based,109.0,1.9442000000000004,0.0632535971365996,0.059528879266583
NewSIN,1-sin based,110.0,2.013377777777778,0.0638083124940852,0.0598113533831452
NewSIN,1-sin based,111.0,2.010222222222222,0.0643922247376556,0.0602738704445777
NewSIN,1-sin based,112.0,2.1162444444444444,0.0649898823359176,0.0606097841997962
NewSIN,1-sin based,113.0,2.133,0.0656830396442793,0.0611415185643067
NewSIN,1-sin based,114.0,2.2197777777777774,0.0662838341806816,0.0617080113099837
NewSIN,1-sin based,115.0,2.2724444444444445,0.0668440667281057,0.0620888107424719
NewSIN,1-sin based,116.0,2.3199111111111117,0.0672858710067043,0.0624830381904514
NewSIN,1-sin based,117.0,2.353111111111111,0.0678221365014987,0.0632164161377148
NewSIN,1-sin based,118.0,2.4094000000000007,0.0684125058817357,0.0634367974996716
NewSIN,1-sin based,119.0,2.4936888888888884,0.069125159082428,0.0639240946400674
NewSIN,1-sin based,120.0,2.5525333333333338,0.069456387798072,0.0644591846683823
NewSIN,1-sin based,121.0,2.6150222222222217,0.0698379873549479,0.0647968672694824
NewSIN,1-sin based,122.0,2.6576,0.0705462765208838,0.0653835117523154
NewSIN,1-sin based,123.0,2.7696222222222224,0.0710652216857327,0.0658035628139081
NewSIN,1-sin based,124.0,2.8222,0.0713664489562433,0.0663720605032503
NewSIN,1-sin based,125.0,2.8956222222222223,0.0721086279014562,0.0668478429166335
NewSIN,1-sin based,126.0,2.945288888888889,0.0723956205785098,0.0672985532436913
NewSIN,1-sin based,127.0,3.0744,0.072818864822762,0.0677765739518356
NewSIN,1-sin based,128.0,3.091644444444444,0.0735558333550687,0.0680636217544502
NewSIN,1-sin based,129.0,3.177177777777778,0.0742053471524943,0.0684086523087893
NewSIN,1-sin based,130.0,3.241666666666667,0.0745060095506316,0.0688911457866773
NewSIN,1-sin based,131.0,3.356177777777778,0.075013328179443,0.0694163948437166
NewSIN,1-sin based,132.0,3.4472444444444443,0.0753853402921908,0.0700305761184891
NewSIN,1-sin based,133.0,3.554533333333333,0.0758052335306423,0.0705072607774128
NewSIN,1-sin based,134.0,3.735622222222222,0.0760365605357318,0.0709280196570673
NewSIN,1-sin based,135.0,3.831777777777778,0.07670317817575,0.0714580323992242
NewSIN,1-sin based,136.0,3.9645777777777775,0.076839794360116,0.0717915481819265
NewSIN,1-sin based,137.0,4.046288888888889,0.0775704031177526,0.072227833965651
NewSIN,1-sin based,138.0,4.1588666666666665,0.0777858430403704,0.0727949772658013
NewSIN,1-sin based,139.0,4.211355555555556,0.0783116641201898,0.0731354777585422
NewSIN,1-sin based,140.0,4.373755555555555,0.0789364209674511,0.0737165499427533
NewSIN,1-sin based,141.0,4.529511111111111,0.0791368141752308,0.0739076960155019
NewSIN,1-sin based,142.0,4.682777777777777,0.0793623416801959,0.074609307009606
NewSIN,1-sin based,143.0,4.803644444444444,0.0799272428282794,0.0750714033401185
NewSIN,1-sin based,144.0,4.932555555555555,0.0801092894998015,0.0756041833484467
NewSIN,1-sin based,145.0,4.961022222222222,0.0806941127269216,0.0762392356148483
NewSIN,1-sin based,146.0,5.230511111111111,0.0809564592441827,0.0768463183287501
NewSIN,1-sin based,147.0,5.298688888888889,0.0814388236638466,0.0771020150568699
NewSIN,1-sin based,148.0,5.421555555555555,0.0821062721338496,0.0773988628162782
NewSIN,1-sin based,149.0,5.620844444444445,0.0821346004241642,0.0778864570969166
NewSIN,1-sin based,150.0,5.80611111111111,0.0827296407184656,0.078455876256194
