function,label,k,residual_median,residual_q1,residual_q3,n_runs
KURAMOTO,Kuramoto based,761.0,0.0470564732170031,0.0460505168076089,0.0481014354631231,500
KURAMOTO,Kuramoto based,771.0,0.0474738778893993,0.0465772632529029,0.0486852467470877,500
KURAMOTO,Kuramoto based,781.0,0.0479551513542194,0.0467592285492348,0.0491999611299684,500
KURAMOTO,Kuramoto based,791.0,0.0484556829021133,0.0472515052507604,0.0498039257993734,500
KURAMOTO,Kuramoto based,801.0,0.0487712424967986,0.0477102878894755,0.0501997626945511,500
KURAMOTO,Kuramoto based,811.0,0.0494129606917588,0.0482464919047858,0.0508022713581427,500
KURAMOTO,Kuramoto based,821.0,0.0498182727812553,0.0485580369936878,0.0511276910712893,500
KURAMOTO,Kuramoto based,831.0,0.0502865388055508,0.0491520168587103,0.0515578482383233,500
KURAMOTO,Kuramoto based,841.0,0.0506296551258777,0.0494889035491232,0.0519122134301175,500
KURAMOTO,Kuramoto based,851.0,0.0509662587107371,0.0498534358578627,0.0522949460634894,500
KURAMOTO,Kuramoto based,861.0,0.0515205139084212,0.0503589307893175,0.0527287210276536,500
KURAMOTO,Kuramoto based,871.0,0.0516994086830194,0.0505195518395702,0.0531638171799089,500
KURAMOTO,Kuramoto based,881.0,0.0523255738378163,0.0511316382321054,0.0537804845448347,500
KURAMOTO,Kuramoto based,891.0,0.052602070782702,0.0513823679783035,0.0539807697134956,500
KURAMOTO,Kuramoto based,901.0,0.0531360509690975,0.0518682478205166,0.0544882365498133,500
KURAMOTO,Kuramoto based,911.0,0.0536847510886408,0.0523086472407453,0.05498336428836,500
KURAMOTO,Kuramoto based,921.0,0.0539846658628913,0.0527247293336816,0.0551896858128719,500
KURAMOTO,Kuramoto based,931.0,0.0542784942121263,0.0529617533600922,0.0557424790785877,500
KURAMOTO,Kuramoto based,941.0,0.0548180222090965,0.0534737095433016,0.0560328777905732,500
KURAMOTO,Kuramoto based,951.0,0.0550088076294876,0.0538469149930565,0.0564079664226022,500
KURAMOTO,Kuramoto based,961.0,0.05547412708803,0.0540764001195602,0.0568243279520555,500
KURAMOTO,Kuramoto based,971.0,0.055710074202,0.0545058293464416,0.0572192367003509,500
KURAMOTO,Kuramoto based,981.0,0.0562671829372235,0.0549226657030276,0.0576606167770581,500
KURAMOTO,Kuramoto based,991.0,0.056634845035529,0.0553668432533962,0.0581336130214928,500
KURAMOTO,Kuramoto based,1001.0,0.0569277404228267,0.0555594786504995,0.0583759299784585,500
KURAMOTO,Kuramoto based,1011.0,0.0572078710977267,0.0557802190071248,0.0586552764167151,500
KURAMOTO,Kuramoto based,1021.0,0.0575351962294281,0.0562818581127279,0.0590789926137139,500
KURAMOTO,Kuramoto based,1031.0,0.0577858147730283,0.0566566605955668,0.0593121506079381,500
KURAMOTO,Kuramoto based,1041.0,0.0582574911428447,0.0569834489927413,0.0598804726470132,500
KURAMOTO,Kuramoto based,1051.0,0.0588801067798281,0.0573569401803173,0.0601756710063537,500
KURAMOTO,Kuramoto based,1061.0,0.0586311400884951,0.0572713172574403,0.0603142174066601,500
KURAMOTO,Kuramoto based,1071.0,0.0591403985110082,0.0577027191472863,0.0605731006698419,500
KURAMOTO,Kuramoto based,1081.0,0.0592913425554749,0.0580718161765022,0.0609061468986741,500
KURAMOTO,Kuramoto based,1091.0,0.0597085721442577,0.0584224482388911,0.0614654205904337,500
KURAMOTO,Kuramoto based,1101.0,0.0600983257863352,0.0586509333286738,0.0615545042540813,500
KURAMOTO,Kuramoto based,1111.0,0.0602947065073257,0.0589809615224077,0.0619975755246119,500
