condition,function,label,cycle_index,device_id,phase_diff_rad,phase_diff_wrapped_rad
four_clusters,LINEAR,frog chorus based,3,15,1.5846017465783802,1.5846017465783806
four_clusters,LINEAR,frog chorus based,3,16,1.5852275543482477,1.585227554348248
four_clusters,LINEAR,frog chorus based,3,17,1.585853362118117,1.585853362118117
four_clusters,LINEAR,frog chorus based,3,18,1.5864791698879863,1.586479169887986
four_clusters,LINEAR,frog chorus based,3,19,1.587104977657856,1.587104977657856
four_clusters,LINEAR,frog chorus based,3,20,1.5877307854277256,1.5877307854277252
four_clusters,LINEAR,frog chorus based,3,21,1.5883565931975951,1.5883565931975951
four_clusters,LINEAR,frog chorus based,3,22,1.588982400967465,1.5889824009674651
four_clusters,LINEAR,frog chorus based,3,23,1.5896082087373342,1.5896082087373342
four_clusters,LINEAR,frog chorus based,3,24,1.5902340165072015,1.5902340165072015
four_clusters,LINEAR,frog chorus based,3,25,1.5908598242770733,1.5908598242770733
four_clusters,LINEAR,frog chorus based,3,26,-3.141592653589793,-3.141592653589793
four_clusters,LINEAR,frog chorus based,3,27,-3.128413041576179,-3.128413041576179
four_clusters,LINEAR,frog chorus based,3,28,-3.127787233806309,-3.127787233806309
four_clusters,LINEAR,frog chorus based,3,29,-3.127161426036442,-3.127161426036442
four_clusters,LINEAR,frog chorus based,3,30,-3.1265356182665727,-3.1265356182665727
four_clusters,LINEAR,frog chorus based,3,31,-3.125909810496703,-3.125909810496703
four_clusters,LINEAR,frog chorus based,3,32,-3.1252840027268336,-3.1252840027268336
four_clusters,LINEAR,frog chorus based,3,33,-3.124658194956964,-3.124658194956964
four_clusters,LINEAR,frog chorus based,3,34,-3.1240323871870945,-3.1240323871870945
four_clusters,LINEAR,frog chorus based,3,35,-3.123406579417225,-3.123406579417225
four_clusters,LINEAR,frog chorus based,3,36,-3.1227807716473555,-3.1227807716473555
four_clusters,LINEAR,frog chorus based,3,37,-3.122154963877488,-3.122154963877488
four_clusters,LINEAR,frog chorus based,3,38,-1.5707963267948966,-1.5707963267948966
four_clusters,LINEAR,frog chorus based,3,39,-1.5576167147812825,-1.5576167147812825
four_clusters,LINEAR,frog chorus based,3,40,-1.556990907011413,-1.556990907011413
four_clusters,LINEAR,frog chorus based,3,41,-1.5563650992415456,-1.5563650992415456
four_clusters,LINEAR,frog chorus based,3,42,-1.555739291471676,-1.555739291471676
four_clusters,LINEAR,frog chorus based,3,43,-1.5551134837018044,-1.5551134837018044
four_clusters,LINEAR,frog chorus based,3,44,-1.5544876759319348,-1.5544876759319348
four_clusters,LINEAR,frog chorus based,3,45,-1.5538618681620675,-1.5538618681620675
four_clusters,LINEAR,frog chorus based,3,46,-1.553236060392198,-1.553236060392198
four_clusters,LINEAR,frog chorus based,3,47,-1.5526102526223284,-1.5526102526223284
four_clusters,LINEAR,frog chorus based,3,48,-1.551984444852459,-1.551984444852459
four_clusters,LINEAR,frog chorus based,3,49,-1.5513586370825916,-1.5513586370825916
four_clusters,LINEAR,frog chorus based,4,0,0.0,0.0
four_clusters,LINEAR,frog chorus based,4,1,0.0131532527895871,0.013153252789587011
four_clusters,LINEAR,frog chorus based,4,2,0.0137778089439161,0.013777808943916003
four_clusters,LINEAR,frog chorus based,4,3,0.0144023650982452,0.014402365098244996
four_clusters,LINEAR,frog chorus based,4,4,0.0150269212525742,0.015026921252573988
four_clusters,LINEAR,frog chorus based,4,5,0.0156514774069032,0.01565147740690298
four_clusters,LINEAR,frog chorus based,4,6,0.0162760335612345,0.016276033561234637
four_clusters,LINEAR,frog chorus based,4,7,0.0169005897155636,0.01690058971556363
