condition,function,label,cycle_index,device_id,phase_diff_rad,phase_diff_mod_rad
uniform_1ms,KURAMOTO,Kuramoto based,3,38,0.0373177995056618,0.0373177995056618
uniform_1ms,KURAMOTO,Kuramoto based,3,39,0.0384778283458552,0.0384778283458552
uniform_1ms,KURAMOTO,Kuramoto based,3,40,0.0396378572140064,0.0396378572140064
uniform_1ms,KURAMOTO,Kuramoto based,3,41,0.040797885765941,0.040797885765941
uniform_1ms,KURAMOTO,Kuramoto based,3,42,0.0419579136575006,0.0419579136575006
uniform_1ms,KURAMOTO,Kuramoto based,3,43,0.043117940544511,0.043117940544511
uniform_1ms,KURAMOTO,Kuramoto based,3,44,0.0510402185572946,0.0510402185572946
uniform_1ms,KURAMOTO,Kuramoto based,3,45,0.0454379899282414,0.0454379899282414
uniform_1ms,KURAMOTO,Kuramoto based,3,46,0.0465980117366402,0.0465980117366402
uniform_1ms,KURAMOTO,Kuramoto based,3,47,0.0477580311638565,0.0477580311638565
uniform_1ms,KURAMOTO,Kuramoto based,3,48,0.0489180478657317,0.0489180478657317
uniform_1ms,KURAMOTO,Kuramoto based,3,49,0.0500780614981191,0.0500780614981191
uniform_1ms,KURAMOTO,Kuramoto based,4,0,0.0,0.0
uniform_1ms,KURAMOTO,Kuramoto based,4,1,0.0231832125914253,0.0231832125914253
uniform_1ms,KURAMOTO,Kuramoto based,4,2,0.024759421552965,0.024759421552965
uniform_1ms,KURAMOTO,Kuramoto based,4,3,0.0263356272952964,0.0263356272952964
uniform_1ms,KURAMOTO,Kuramoto based,4,4,0.0187888832008889,0.0187888832008889
uniform_1ms,KURAMOTO,Kuramoto based,4,5,0.0203650871681223,0.0203650871681223
uniform_1ms,KURAMOTO,Kuramoto based,4,6,0.0219412947240378,0.0219412947240378
uniform_1ms,KURAMOTO,Kuramoto based,4,7,0.0235175048409468,0.0235175048409468
uniform_1ms,KURAMOTO,Kuramoto based,4,8,0.0317191893982214,0.0317191893982214
uniform_1ms,KURAMOTO,Kuramoto based,4,9,0.0266699286470233,0.0266699286470233
uniform_1ms,KURAMOTO,Kuramoto based,4,10,0.0282461402808206,0.0282461402808206
uniform_1ms,KURAMOTO,Kuramoto based,4,11,0.0298223503648642,0.0298223503648642
uniform_1ms,KURAMOTO,Kuramoto based,4,12,0.0313985578714839,0.0313985578714839
uniform_1ms,KURAMOTO,Kuramoto based,4,13,0.0329747617729957,0.0329747617729957
uniform_1ms,KURAMOTO,Kuramoto based,4,14,0.0369817852865117,0.0369817852865117
uniform_1ms,KURAMOTO,Kuramoto based,4,15,0.0361271546500604,0.0361271546500604
uniform_1ms,KURAMOTO,Kuramoto based,4,16,0.0252180017823614,0.0252180017823614
uniform_1ms,KURAMOTO,Kuramoto based,4,17,0.0267942050083937,0.0267942050083937
uniform_1ms,KURAMOTO,Kuramoto based,4,18,0.028370411258929,0.028370411258929
uniform_1ms,KURAMOTO,Kuramoto based,4,19,0.0299466195062904,0.0299466195062904
uniform_1ms,KURAMOTO,Kuramoto based,4,20,0.0315228287227916,0.0315228287227916
uniform_1ms,KURAMOTO,Kuramoto based,4,21,0.0330990378807532,0.0330990378807532
uniform_1ms,KURAMOTO,Kuramoto based,4,22,0.0346752459524776,0.0346752459524776
uniform_1ms,KURAMOTO,Kuramoto based,4,23,0.0362514519102854,0.0362514519102854
uniform_1ms,KURAMOTO,Kuramoto based,4,24,0.0311359926728591,0.0311359926728591
uniform_1ms,KURAMOTO,Kuramoto based,4,25,0.0327121961771544,0.0327121961771544
uniform_1ms,KURAMOTO,Kuramoto based,4,26,0.0342884034893111,0.0342884034893111
uniform_1ms,KURAMOTO,Kuramoto based,4,27,0.0358646135816614,0.0358646135816614
uniform_1ms,KURAMOTO,Kuramoto based,4,28,0.0374408254265121,0.0374408254265121
uniform_1ms,KURAMOTO,Kuramoto based,4,29,0.0390170379961655,0.0390170379961655
uniform_1ms,KURAMOTO,Kuramoto based,4,30,0.0438892448378753,0.0438892448378753
uniform_1ms,KURAMOTO,Kuramoto based,4,31,0.0421694611991174,0.0421694611991174
uniform_1ms,KURAMOTO,Kuramoto based,4,32,0.050437040839989,0.050437040839989
uniform_1ms,KURAMOTO,Kuramoto based,4,33,0.0361331324933153,0.0361331324933153
uniform_1ms,KURAMOTO,Kuramoto based,4,34,0.0377093322653705,0.0377093322653705
uniform_1ms,KURAMOTO,Kuramoto based,4,35,0.0392855365583752,0.0392855365583752
uniform_1ms,KURAMOTO,Kuramoto based,4,36,0.0408617443446637,0.0408617443446637
uniform_1ms,KURAMOTO,Kuramoto based,4,37,0.0424379545965451,0.0424379545965451
uniform_1ms,KURAMOTO,Kuramoto based,4,38,0.0440141662863448,0.0440141662863448
uniform_1ms,KURAMOTO,Kuramoto based,4,39,0.0455903783863718,0.0455903783863718
uniform_1ms,KURAMOTO,Kuramoto based,4,40,0.0471665898689445,0.0471665898689445
uniform_1ms,KURAMOTO,Kuramoto based,4,41,0.048742799706363,0.048742799706363
uniform_1ms,KURAMOTO,Kuramoto based,4,42,0.0503190068709616,0.0503190068709616
uniform_1ms,KURAMOTO,Kuramoto based,4,43,0.0518952103350517,0.0518952103350517
uniform_1ms,KURAMOTO,Kuramoto based,4,44,0.0626596147092715,0.0626596147092715
uniform_1ms,KURAMOTO,Kuramoto based,4,45,0.0550476020510876,0.0550476020510876
uniform_1ms,KURAMOTO,Kuramoto based,4,46,0.0566237882477545,0.0566237882477545
uniform_1ms,KURAMOTO,Kuramoto based,4,47,0.0581999666333691,0.0581999666333691
uniform_1ms,KURAMOTO,Kuramoto based,4,48,0.0597761361803368,0.0597761361803368
uniform_1ms,KURAMOTO,Kuramoto based,4,49,0.0613522958610992,0.0613522958610992
uniform_1ms,KURAMOTO,Kuramoto based,5,0,0.0,0.0
uniform_1ms,KURAMOTO,Kuramoto based,5,1,0.0315002493344478,0.0315002493344478
uniform_1ms,KURAMOTO,Kuramoto based,5,2,0.0336419469451521,0.0336419469451521
uniform_1ms,KURAMOTO,Kuramoto based,5,3,0.0357836348599737,0.0357836348599737
uniform_1ms,KURAMOTO,Kuramoto based,5,4,0.0188380048895576,0.0188380048895576
uniform_1ms,KURAMOTO,Kuramoto based,5,5,0.0276710702280217,0.0276710702280217
uniform_1ms,KURAMOTO,Kuramoto based,5,6,0.0298127719421839,0.0298127719421839
uniform_1ms,KURAMOTO,Kuramoto based,5,7,0.031954474326271,0.031954474326271
uniform_1ms,KURAMOTO,Kuramoto based,5,8,0.0364069387054031,0.0364069387054031
uniform_1ms,KURAMOTO,Kuramoto based,5,9,0.0362378698989675,0.0362378698989675
uniform_1ms,KURAMOTO,Kuramoto based,5,10,0.0316878994499231,0.0316878994499231
uniform_1ms,KURAMOTO,Kuramoto based,5,11,0.033829586197903,0.033829586197903
uniform_1ms,KURAMOTO,Kuramoto based,5,12,0.0359712762343627,0.0359712762343627
uniform_1ms,KURAMOTO,Kuramoto based,5,13,0.0381129667580061,0.0381129667580061
uniform_1ms,KURAMOTO,Kuramoto based,5,14,0.0435575843001124,0.0435575843001124
uniform_1ms,KURAMOTO,Kuramoto based,5,15,0.0423963380616597,0.0423963380616597
uniform_1ms,KURAMOTO,Kuramoto based,5,16,0.0342650487854723,0.0342650487854723
uniform_1ms,KURAMOTO,Kuramoto based,5,17,0.0364067314691274,0.0364067314691274
uniform_1ms,KURAMOTO,Kuramoto based,5,18,0.0318567532527927,0.0318567532527927
uniform_1ms,KURAMOTO,Kuramoto based,5,19,0.0339984380915547,0.0339984380915547
uniform_1ms,KURAMOTO,Kuramoto based,5,20,0.0361401309269699,0.0361401309269699
uniform_1ms,KURAMOTO,Kuramoto based,5,21,0.0382818289577648,0.0382818289577648
uniform_1ms,KURAMOTO,Kuramoto based,5,22,0.040423529382607,0.040423529382607
uniform_1ms,KURAMOTO,Kuramoto based,5,23,0.0425652294001956,0.0425652294001956
uniform_1ms,KURAMOTO,Kuramoto based,5,24,0.0356145123460485,0.0356145123460485
uniform_1ms,KURAMOTO,Kuramoto based,5,25,0.0377562015303401,0.0377562015303401
uniform_1ms,KURAMOTO,Kuramoto based,5,26,0.0398979001034068,0.0398979001034068
uniform_1ms,KURAMOTO,Kuramoto based,5,27,0.0420396052639845,0.0420396052639845
uniform_1ms,KURAMOTO,Kuramoto based,5,28,0.0508726813063185,0.0508726813063185
uniform_1ms,KURAMOTO,Kuramoto based,5,29,0.0463230241423512,0.0463230241423512
uniform_1ms,KURAMOTO,Kuramoto based,5,30,0.0529432162538957,0.0529432162538957
uniform_1ms,KURAMOTO,Kuramoto based,5,31,0.0506064357547192,0.0506064357547192
uniform_1ms,KURAMOTO,Kuramoto based,5,32,0.0549579251523179,0.0549579251523179
uniform_1ms,KURAMOTO,Kuramoto based,5,33,0.042404460573188,0.042404460573188
uniform_1ms,KURAMOTO,Kuramoto based,5,34,0.044546153215082,0.044546153215082
uniform_1ms,KURAMOTO,Kuramoto based,5,35,0.0466878517605818,0.0466878517605818
