index,cycle_index,count,mean,min,max,median,std,q25,q75
578,579,100,0.1141736965092301,0.0693830151293064,0.1719720757745265,0.1104579853322854,0.024179788859227197,0.09653577944575074,0.13127380661461616
579,580,100,0.11628209639761308,0.0588255535946444,0.1811711828633568,0.11215751058738616,0.024810085525732627,0.09713255106864137,0.13516648533739192
580,581,100,0.1175998515760701,0.0765856279800375,0.1761663946841512,0.11362209632511686,0.021569731267239975,0.10309478638873808,0.12895553307207652
581,582,100,0.11892224206849658,0.0507812636673325,0.1739247546168809,0.12114724531252455,0.023316878120531865,0.10245972366738054,0.13332684065924405
582,583,100,0.11794645903349293,0.0668134549601192,0.1712615542512821,0.1155528061691184,0.021243036899659597,0.10114124369064036,0.13190055107027193
583,584,100,0.11382578202088973,0.0756883030037636,0.1906750147785329,0.11065257368128184,0.02075872586074201,0.09934537194597397,0.12447527384422906
584,585,100,0.12249449234022647,0.0611515383112797,0.1733972629258455,0.1204311375213139,0.024145518144891295,0.10766864646187407,0.14073864435981792
585,586,100,0.1134105237348458,0.0569023000516515,0.1998872481284312,0.11366410522105135,0.02515590391273612,0.0965990351158823,0.13020595554744038
586,587,100,0.12039373474235329,0.0620911282330292,0.2023518162349833,0.11696961268884545,0.025488736551531246,0.1043806183941177,0.14075606925454462
587,588,100,0.11500712994940322,0.0662428837157893,0.19335830994654,0.11276214088273434,0.027036410330206453,0.09555858481232272,0.1321948738819478
588,589,100,0.11897554487531266,0.0707779932888428,0.171594278678377,0.11685246108079639,0.024092480449305703,0.09896889130038758,0.13550540185891793
589,590,100,0.11504270097641033,0.0611634614548746,0.1746482644836267,0.11332193068267374,0.02442118511114289,0.09853144112435877,0.13203249975759057
590,591,100,0.11752587473479059,0.0726052664100558,0.1884034672123279,0.1158626189973758,0.024301521563188117,0.10002628212261827,0.1322907225520601
591,592,100,0.11372721152854051,0.0430040048172773,0.1680076279524743,0.11719510245320655,0.02460485951057296,0.09536618225926215,0.12909486151669436
592,593,100,0.1187426025880545,0.0657259534466002,0.188373666862176,0.11834598565536915,0.02407695472488508,0.10077815268628643,0.13312664571961186
593,594,100,0.11391745440875191,0.0663347642925525,0.1701078585904785,0.11077190649465195,0.02266185635984308,0.09896762387138063,0.13165372352871554
594,595,100,0.12113521773699498,0.0728744439611458,0.1709490047371065,0.11964297744187564,0.022075166159613142,0.10474645293876972,0.13700367053259965
595,596,100,0.11242345331602273,0.0499379786656003,0.1901699040970135,0.11470859096566025,0.024764024836892468,0.0937489946303758,0.12836201729434674
596,597,100,0.12087385804606555,0.0662588055764697,0.20013018048042,0.11648424154774839,0.027712436863372176,0.10215598120504499,0.13785497581552497
597,598,100,0.11397093518835744,0.058802894592366,0.1805493972418911,0.11764512024828219,0.02472821824007914,0.09636749283768803,0.13126570468595294
598,599,100,0.1199938099542265,0.0447950780586318,0.1801103873357883,0.12066914318124215,0.02520029074797689,0.10326285140874387,0.1336833526134758
599,600,100,0.11555453928168571,0.064780024272405,0.1935751025672371,0.11378283037866449,0.02701837182759633,0.09508409327014294,0.1314035319502279
600,601,100,0.1208563191391255,0.0502758251143605,0.2051484729524736,0.11850396927372925,0.029003474774367474,0.0976790719864071,0.14041211616502133
601,602,100,0.11611302084513082,0.0534901454775273,0.1876517445289392,0.11510554411072735,0.028055795909220384,0.09884960317760816,0.1351955262999766
602,603,100,0.11817937171937734,0.0682662942190453,0.172604871335721,0.1168667076342006,0.024420660582975737,0.09707936574359757,0.13585094228638556
603,604,100,0.11940382128119084,0.0528744607729451,0.1937052303406554,0.1212459004339611,0.027579099172695545,0.09866420704435565,0.1355241702969979
604,605,100,0.11792784637780883,0.0724099883264395,0.1749489997480189,0.1173141772216647,0.025034774434853926,0.0964146182156823,0.13674982971389518
605,606,100,0.11750463826689246,0.0676543724728704,0.1892488732884912,0.1170252083723812,0.026552964645729447,0.10048886366877437,0.13375727199618767
606,607,100,0.11861100977502312,0.0573323403880494,0.1839715985088007,0.11690053120677471,0.027151345265547695,0.09877015363596522,0.1343344327029148
607,608,100,0.11842777142530149,0.0531523056890993,0.2043284397778095,0.11879807715738155,0.02808946147911992,0.09991408513968397,0.13442090925370712
608,609,100,0.11988138105323579,0.0588694187318849,0.2111396304908661,0.11499084211347979,0.03031997749874718,0.09930665183671092,0.13592774018039405
609,610,100,0.12050095883019249,0.0691420565768358,0.1930761902868766,0.12119517711070915,0.024004765979438226,0.1025896605556037,0.13455241622502073
610,611,100,0.11737328021844542,0.0664384267386147,0.1763551266477293,0.1160061747722657,0.025926282476884884,0.09696903244561116,0.1343289066015614
611,612,100,0.12009397134840473,0.0567355217381167,0.1893033621410805,0.1176025116298592,0.028555258759676603,0.09963014722399438,0.14028817732146273
612,613,100,0.11437852847690888,0.0488615889257651,0.1735922085300918,0.11730942793395299,0.02749518259909971,0.09188420823318705,0.13214552477294642
613,614,100,0.11730700368624608,0.0660358965849032,0.1781715218935632,0.11526324123818694,0.024143493438741052,0.10028985788988795,0.1306304059167546
614,615,100,0.11669428466070526,0.0561786411873304,0.1812321533446185,0.11768918253567355,0.02391457460990839,0.10045068537937382,0.13091125632077572
615,616,100,0.12064971780478728,0.0696506125660087,0.1907509499709896,0.12076834524203595,0.02599774789431692,0.10038056574239942,0.14101193015614383
616,617,100,0.11379548304033803,0.0615142083081434,0.16925752351898,0.1114567046365838,0.023871252970812835,0.0956744978566848,0.12988725095346612
617,618,100,0.1233682646851631,0.0628428545492748,0.2089750793422506,0.12263853483496559,0.028721861294802187,0.1038262407026944,0.14033128305978165
618,619,100,0.11769520827646389,0.0619637709798578,0.2065471858259884,0.11860794672469774,0.029624350913997195,0.09583676962416834,0.1351788270295582
619,620,100,0.12063321991449616,0.0512605050675978,0.2122157564011417,0.11691678350078019,0.031176166282380093,0.10237705014917098,0.13927173970254839
620,621,100,0.11684037885655232,0.0666383033006837,0.1993639903482661,0.1163348578847495,0.02493347917298158,0.09930157397846412,0.13417458578791852
621,622,100,0.12297230204575954,0.063537107133167,0.2241756663278079,0.1214774821543511,0.028084397263504604,0.10611601685076087,0.13255112535174604
622,623,100,0.1178808734583901,0.0723230025409686,0.1988795443756119,0.11623876324552865,0.026310910686458217,0.09833698567262805,0.13437798258279665
623,624,100,0.11984417672965637,0.0676659651169178,0.1951239032657088,0.1201400400104459,0.024986635861645557,0.1005104500021646,0.133421032800711
624,625,100,0.11743307939598208,0.0537633678870325,0.1748578777967534,0.11560047584908115,0.026054280821524743,0.09740539884204062,0.13854936250468933
625,626,100,0.1197997704740594,0.0531423217986539,0.2274445158826716,0.1188592517514398,0.02873704141623059,0.10255406641255582,0.13548318578450325
