coupling_function,device_count,k,run_index,run_id,selected_start_times,cycle_count,expected_packets,actual_packets,successful_packets,simultaneous_collision_count,overall_per_percent,ttu_cycle,ttu_reached,mean_convergence_cycle,mean_converged,max_convergence_cycle,max_converged,final_10_cycle_new_mean_abs_dev,final_10_cycle_new_max_abs_dev,epsilon_tolerance_rad,carrier_sense_duration_ms,airtime_ms,occupied_time_ms
KURAMOTO,5,1,44,019f655a-9b2f-79a6-beb7-9961ff139750_0044,747;3070;4787;3081;3872,180,900,720,720,0,20.0,,False,1.0,True,,False,0.5171061507808801,1.662530832279718,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,45,019f655a-9b30-7bd2-934e-e47a14a49d42_0045,3217;4523;3696;2620;760,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.5213653916609038,1.0055904955919481,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,46,019f655a-9b31-714d-a373-da692d96ee5f_0046,4798;2479;1367;4407;2979,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.45753195129624463,0.6581065492343307,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,47,019f655a-9b32-7589-ba5b-57be7085c8b1_0047,1027;3337;2400;1089;328,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.6506439828803827,1.2453273278829937,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,48,019f655a-9b33-7ff0-9727-c15d98845bd1_0048,1428;1835;4495;4407;973,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.9951239377431118,1.9035176890625292,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,49,019f655a-9b34-7dfb-9aea-a180eac74bcb_0049,3828;1195;1404;4809;3614,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.76791879831781,1.456469734205815,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,0,019f655a-a31f-74fe-bb0c-79a7899ea341_0000,3412;83;2446;3018;1586,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.5398094172599635,0.7174351012476422,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,1,019f655a-a320-70ef-8eee-7626366c8034_0001,4882;2702;329;1903;981,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.5533319408987267,1.383329852246817,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,2,019f655a-a321-7193-8e87-0430a9bbc1a3_0002,1226;655;4054;1351;2748,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.6258503160333065,1.0556507044187544,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,3,019f655a-a322-7242-8763-6a540672aa5d_0003,1106;4349;1910;2705;4651,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.47277911103739284,0.7097260911024358,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,4,019f655a-a323-7405-b5bf-180bf44105a6_0004,1708;2458;2582;3180;618,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.7270996577830037,1.7046518089282763,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,5,019f655a-a324-7c5d-be58-2ee7e7120746_0005,1241;4820;4355;2665;4817,180,900,720,720,0,20.0,,False,1.0,True,1.0,True,0.5575204393179607,0.7482288599447902,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,6,019f655a-a325-7c5a-be48-92d24c160248_0006,3139;4818;4450;1979;3863,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.6165507307301541,1.3403148969956378,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,7,019f655a-a326-75c9-81c1-b4c995162223_0007,2488;3478;4638;1020;1402,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.23389551347517062,0.5870567417444981,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,8,019f655a-a327-74ab-b434-9ec04d9a1808_0008,4607;2293;4112;2313;4400,180,900,720,720,0,20.0,,False,89.0,True,,False,1.185299246582875,2.0490000490262634,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,9,019f655a-a328-7200-a6a5-4ef54d63dcb7_0009,4651;2446;4484;1083;4086,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.6543879129402677,0.9330739223540675,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,10,019f655a-a329-79c4-81cb-a15e770420a4_0010,3589;3606;2584;1930;2089,180,900,720,720,0,20.0,,False,1.0,True,,False,1.1459766193328518,2.918407757724451,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,2,11,019f655a-a32a-7c41-9431-69b42089303f_0011,1604;4436;2715;3324;579,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.17801248223152927,0.44503120557882314,1.224537524338598,5.0,20.544,25.544
