coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,max_convergence_cycle_censored_median,max_convergence_rate_percent,mingap_convergence_cycle_censored_median,mingap_convergence_rate_percent,aux_mean_convergence_cycle_censored_median,aux_mean_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,simultaneous_collision_count_total
LINEAR,5,10.0,50,0.0,10.0,100.0,51.5,60.0,1.0,100.0,1.0,100.0,0.5393155049031835,1.1284600811694534,0.8123164402336045,0
LINEAR,5,15.0,50,0.0,10.0,100.0,35.0,60.0,1.0,100.0,1.0,100.0,0.5392039725897424,1.1284600811694534,0.812748872665022,0
LINEAR,5,20.0,50,0.0,10.0,100.0,26.5,60.0,1.0,100.0,1.0,100.0,0.5383322118918932,1.1284600811694534,0.8134186892759725,0
LINEAR,5,30.0,50,0.0,10.0,100.0,17.5,60.0,1.0,100.0,1.0,100.0,0.5360873207922863,1.1284600811694534,0.8139654076871512,0
LINEAR,5,50.0,50,0.0,10.0,100.0,11.5,60.0,1.0,100.0,1.0,100.0,0.5256325573360652,1.1284600811694534,0.8177710004086456,0
LINEAR,5,70.0,50,0.0,10.0,100.0,8.5,60.0,1.0,100.0,1.0,100.0,0.5264373338922319,1.1365233582192604,0.8177312314978757,0
LINEAR,5,100.0,50,0.0,10.0,100.0,5.5,60.0,1.0,100.0,1.0,100.0,0.5154177367444497,1.1315092206909028,0.8231095249235469,0
LINEAR,5,150.0,50,0.0,10.0,100.0,4.5,64.0,1.0,100.0,1.0,100.0,0.4993503181193771,1.133574594009507,0.831778006516696,0
LINEAR,5,200.0,50,0.0,10.0,100.0,3.5,64.0,1.0,100.0,1.0,100.0,0.469247416852469,1.098627517330977,0.8448170713931027,0
LINEAR,5,300.0,50,0.0,10.0,100.0,2.5,64.0,1.0,100.0,1.0,100.0,0.46162538919260204,1.0820687357763474,0.8552680630560797,0
LINEAR,5,500.0,50,0.0,10.0,100.0,2.0,94.0,1.0,100.0,1.0,100.0,0.3906808660294003,0.960435139684904,0.8760471340529528,0
LINEAR,5,700.0,50,0.0,10.0,100.0,2.0,98.0,1.0,100.0,1.0,100.0,0.3396203378421059,0.7789960391950671,0.8867077938045109,0
LINEAR,5,1000.0,50,0.0,10.0,100.0,2.0,100.0,1.0,100.0,1.0,100.0,0.28939799408807254,0.46803194015146754,0.8931562993801232,0
LINEAR,5,1500.0,50,-0.1111111111111111,10.0,100.0,3.0,70.0,1.0,100.0,1.0,100.0,0.35079677021254424,0.8078381109232275,0.6321782048053383,0
LINEAR,5,2000.0,50,0.0,16.5,100.0,9.0,92.0,1.0,100.0,6.0,100.0,0.015041356111820892,0.037603390279552174,1.2212918861574829,0
LINEAR,10,1.0,50,0.0,10.0,92.0,,12.0,1.0,100.0,1.0,98.0,0.3733777491957697,1.04954875570898,0.22110896169187444,0
LINEAR,10,2.0,50,0.0,10.0,98.0,,26.0,1.0,100.0,1.0,100.0,0.3145479466397775,0.8795034714858597,0.29920765582244835,0
LINEAR,10,3.0,50,0.0,10.0,100.0,,38.0,1.0,100.0,1.0,100.0,0.2597027795278335,0.698892005332346,0.38084431997802903,0
LINEAR,10,5.0,50,0.0,10.0,100.0,141.5,56.00000000000001,1.0,100.0,1.0,100.0,0.18473341024550088,0.5222794256060351,0.4678586645871332,0
LINEAR,10,7.0,50,0.0,10.0,100.0,101.5,70.0,1.0,100.0,1.0,100.0,0.10827335031909291,0.37432748359366375,0.5404121401142916,0
LINEAR,10,10.0,50,0.0,10.0,100.0,71.5,96.0,1.0,100.0,1.0,100.0,0.01822398374842262,0.07878206122178677,0.613014627728916,0
LINEAR,10,15.0,50,0.0,10.0,100.0,47.5,100.0,1.0,100.0,1.0,100.0,0.014306901828646782,0.07612429493456144,0.6116024161300877,0
LINEAR,10,20.0,50,0.0,10.0,100.0,36.0,100.0,1.0,100.0,1.0,100.0,0.016389021722100203,0.08101583893042241,0.6082437157583289,0
LINEAR,10,30.0,50,0.0,10.0,100.0,24.5,100.0,1.0,100.0,1.0,100.0,0.02068672147186798,0.08861946265652088,0.5988840230106545,0
LINEAR,10,50.0,50,0.0,10.0,100.0,14.5,100.0,1.0,100.0,1.0,100.0,0.02879756943169791,0.10045421246459607,0.5855567011337603,0
LINEAR,10,70.0,50,0.0,10.0,100.0,11.5,100.0,1.0,100.0,1.0,100.0,0.03777789044688959,0.11547270821634098,0.5684843996528463,0
LINEAR,10,100.0,50,0.0,10.0,100.0,9.0,100.0,1.0,100.0,1.0,100.0,0.05031809113600851,0.13013469728714816,0.5477822449603165,0
LINEAR,10,150.0,50,0.0,10.0,100.0,6.5,100.0,1.0,100.0,1.0,100.0,0.07505585398956957,0.16078857331573984,0.5263070664988357,0
LINEAR,10,200.0,50,0.0,10.0,100.0,5.5,100.0,1.0,100.0,1.0,100.0,0.09967821356969359,0.18359477188904172,0.5098895382236299,0
LINEAR,10,300.0,50,0.0,10.0,100.0,5.0,98.0,1.0,100.0,1.0,100.0,0.15038499145378184,0.24565567157611434,0.4672074107635321,0
LINEAR,10,500.0,50,0.0,10.0,100.0,6.5,92.0,1.0,100.0,1.0,100.0,0.2582227148668603,0.3728626026464996,0.37429351524954263,0
LINEAR,10,700.0,50,-0.05555555555555555,10.0,100.0,13.5,72.0,1.0,100.0,1.0,100.0,0.4061718681734632,0.7101630105586838,0.2651245501294648,0
LINEAR,10,1000.0,50,0.6111111111111112,21.5,100.0,,0.0,1.0,100.0,10.5,92.0,0.5856431452986265,1.0035651361587719,0.07657428729357288,0
LINEAR,10,1500.0,50,7.0,11.0,56.00000000000001,,0.0,1.0,100.0,,0.0,0.7092532358925606,1.4512922168405267,0.04486470564630962,0
LINEAR,10,2000.0,50,47.97222222222222,10.0,2.0,,0.0,1.0,100.0,,2.0,0.6283185303453047,0.6283187895382445,1.2566367731058454,0
LINEAR,20,1.0,50,4.888888888888889,52.0,62.0,,6.0,1.0,100.0,1.0,100.0,0.1575513280786374,0.5754763883826345,0.1262749238399523,0
LINEAR,20,2.0,50,2.4722222222222223,60.0,88.0,,30.0,1.0,100.0,1.0,100.0,0.11338638955185018,0.3899567294442313,0.16738956313562936,0
LINEAR,20,3.0,50,1.6388888888888888,46.5,96.0,155.5,56.00000000000001,1.0,100.0,1.0,100.0,0.08793663893474113,0.25640624588372973,0.21394223878370938,0
LINEAR,20,5.0,50,0.8333333333333333,35.0,100.0,94.0,88.0,1.0,100.0,1.0,100.0,0.03993504903156203,0.11918763525200504,0.26996579348491334,0
LINEAR,20,7.0,50,0.75,30.0,100.0,67.5,100.0,1.0,100.0,1.0,100.0,0.012294551328846402,0.07731171607529369,0.2921101115891141,0
LINEAR,20,10.0,50,0.3888888888888889,22.5,100.0,49.0,100.0,1.0,100.0,1.0,100.0,0.014518560499873635,0.059048559714172985,0.2863722192434016,0
LINEAR,20,15.0,50,0.3611111111111111,18.5,100.0,34.0,100.0,1.0,100.0,1.0,100.0,0.01897667402844485,0.06982062680385295,0.278611591249204,0
LINEAR,20,20.0,50,0.19444444444444442,15.0,100.0,25.0,100.0,1.0,100.0,1.0,100.0,0.024408554957575948,0.07601843458422547,0.265804729160367,0
LINEAR,20,30.0,50,0.18055555555555555,14.5,100.0,18.0,100.0,1.0,100.0,1.0,100.0,0.03441006873989526,0.09168696743149182,0.24853833323029711,0
LINEAR,20,50.0,50,0.1388888888888889,13.0,100.0,12.0,98.0,1.0,100.0,1.0,100.0,0.04712201584792523,0.12823483539299363,0.21828051621880773,0
LINEAR,20,70.0,50,0.1388888888888889,13.0,100.0,9.0,100.0,1.0,100.0,1.0,100.0,0.05412170954114813,0.14984016996878963,0.19375549928463454,0
LINEAR,20,100.0,50,0.1111111111111111,12.0,100.0,7.0,98.0,1.0,100.0,1.0,100.0,0.06763057795620173,0.188108170053999,0.17197908748654722,0
LINEAR,20,150.0,50,0.20833333333333331,14.0,100.0,11.0,100.0,1.0,100.0,1.0,100.0,0.08868390271102324,0.20852664767191215,0.1511343137602057,0
LINEAR,20,200.0,50,0.3194444444444444,19.0,98.0,26.5,90.0,1.0,100.0,1.0,100.0,0.11421184615519683,0.24999879133016617,0.13376785260652968,0
LINEAR,20,300.0,50,0.8194444444444444,33.5,100.0,66.5,74.0,1.0,100.0,1.0,100.0,0.17635389429585258,0.297498585866869,0.10669382732607097,0
LINEAR,20,500.0,50,5.666666666666667,139.0,72.0,,0.0,1.0,100.0,1.5,98.0,0.27928103051632036,0.527148414920916,0.045316893010880294,0
LINEAR,20,700.0,50,18.791666666666668,41.0,18.0,,0.0,1.0,100.0,,26.0,0.3421194405884973,0.7627464087056481,0.03685744217672421,0
