coupling_function,phi_original_rad,phase_difference_wrapped_rad,coupling_function_value
KURAMOTO,-0.6894050545377599,-0.6894050545377599,-0.6360782202777637
KURAMOTO,-0.6806784082777884,-0.6806784082777884,-0.6293203910498373
KURAMOTO,-0.6719517620178168,-0.6719517620178168,-0.6225146366376195
KURAMOTO,-0.6632251157578453,-0.6632251157578453,-0.6156614753256583
KURAMOTO,-0.6544984694978737,-0.6544984694978737,-0.6087614290087208
KURAMOTO,-0.6457718232379017,-0.6457718232379017,-0.601815023152048
KURAMOTO,-0.6370451769779302,-0.6370451769779302,-0.5948227867513411
KURAMOTO,-0.6283185307179586,-0.6283185307179586,-0.5877852522924731
KURAMOTO,-0.6195918844579871,-0.6195918844579871,-0.5807029557109398
KURAMOTO,-0.6108652381980151,-0.6108652381980151,-0.5735764363510458
KURAMOTO,-0.6021385919380435,-0.6021385919380435,-0.5664062369248327
KURAMOTO,-0.593411945678072,-0.593411945678072,-0.5591929034707468
KURAMOTO,-0.5846852994181004,-0.5846852994181004,-0.5519369853120581
KURAMOTO,-0.5759586531581289,-0.5759586531581289,-0.5446390350150272
KURAMOTO,-0.5672320068981569,-0.5672320068981569,-0.5372996083468237
KURAMOTO,-0.5585053606381853,-0.5585053606381853,-0.5299192642332049
KURAMOTO,-0.5497787143782138,-0.5497787143782138,-0.5224985647159488
KURAMOTO,-0.5410520681182422,-0.5410520681182422,-0.5150380749100543
KURAMOTO,-0.5323254218582703,-0.5323254218582703,-0.507538362960704
KURAMOTO,-0.5235987755982987,-0.5235987755982987,-0.4999999999999998
KURAMOTO,-0.5148721293383272,-0.5148721293383272,-0.492423560103467
KURAMOTO,-0.5061454830783556,-0.5061454830783556,-0.484809620246337
KURAMOTO,-0.497418836818384,-0.49741883681838406,-0.4771587602596085
KURAMOTO,-0.488692190558412,-0.48869219055841207,-0.4694715627858906
KURAMOTO,-0.4799655442984405,-0.4799655442984405,-0.4617486132350338
KURAMOTO,-0.4712388980384689,-0.47123889803846897,-0.4539904997395467
KURAMOTO,-0.4625122517784974,-0.4625122517784974,-0.4461978131098089
KURAMOTO,-0.4537856055185254,-0.4537856055185254,-0.4383711467890772
KURAMOTO,-0.4450589592585539,-0.4450589592585539,-0.430511096808295
KURAMOTO,-0.4363323129985823,-0.43633231299858233,-0.4226182617406994
KURAMOTO,-0.4276056667386108,-0.4276056667386108,-0.4146932426562391
KURAMOTO,-0.4188790204786392,-0.41887902047863923,-0.4067366430758003
KURAMOTO,-0.4101523742186672,-0.41015237421866724,-0.398749068925246
KURAMOTO,-0.4014257279586957,-0.4014257279586957,-0.3907311284892736
KURAMOTO,-0.3926990816987241,-0.39269908169872414,-0.3826834323650898
KURAMOTO,-0.3839724354387526,-0.3839724354387526,-0.3746065934159121
KURAMOTO,-0.3752457891787806,-0.3752457891787806,-0.366501226724297
KURAMOTO,-0.366519142918809,-0.36651914291880905,-0.3583679495453001
KURAMOTO,-0.3577924966588375,-0.3577924966588375,-0.3502073812594674
KURAMOTO,-0.3490658503988659,-0.34906585039886595,-0.3420201433256687
KURAMOTO,-0.3403392041388944,-0.3403392041388944,-0.333806859233771
KURAMOTO,-0.3316125578789224,-0.3316125578789224,-0.3255681544571565
KURAMOTO,-0.3228859116189508,-0.32288591161895086,-0.317304656405092
KURAMOTO,-0.3141592653589793,-0.3141592653589793,-0.3090169943749474
KURAMOTO,-0.3054326190990077,-0.30543261909900776,-0.3007057995042732
KURAMOTO,-0.2967059728390357,-0.29670597283903577,-0.2923717047227365
KURAMOTO,-0.2879793265790642,-0.2879793265790642,-0.2840153447039225
KURAMOTO,-0.2792526803190926,-0.27925268031909267,-0.2756373558169991
KURAMOTO,-0.2705260340591211,-0.2705260340591211,-0.2672383760782569
KURAMOTO,-0.2617993877991496,-0.2617993877991496,-0.2588190451025209
KURAMOTO,-0.2530727415391776,-0.2530727415391776,-0.2503800040544412
KURAMOTO,-0.244346095279206,-0.24434609527920603,-0.2419218955996676
KURAMOTO,-0.2356194490192344,-0.23561944901923448,-0.2334453638559054
KURAMOTO,-0.2268928027592629,-0.22689280275926293,-0.2249510543438651
KURAMOTO,-0.2181661564992909,-0.21816615649929094,-0.2164396139381026
KURAMOTO,-0.2094395102393194,-0.2094395102393194,-0.2079116908177591
KURAMOTO,-0.2007128639793478,-0.20071286397934784,-0.1993679344171971
KURAMOTO,-0.1919862177193763,-0.1919862177193763,-0.1908089953765448
KURAMOTO,-0.1832595714594047,-0.18325957145940475,-0.1822355254921475
KURAMOTO,-0.1745329251994327,-0.17453292519943275,-0.1736481776669301
KURAMOTO,-0.1658062789394612,-0.1658062789394612,-0.1650476058606775
KURAMOTO,-0.1570796326794896,-0.15707963267948966,-0.1564344650402308
KURAMOTO,-0.1483529864195181,-0.1483529864195181,-0.1478094111296107
KURAMOTO,-0.1396263401595461,-0.13962634015954611,-0.1391731009600652
KURAMOTO,-0.1308996938995745,-0.13089969389957457,-0.1305261922200514
KURAMOTO,-0.122173047639603,-0.12217304763960302,-0.1218693434051474
KURAMOTO,-0.1134464013796314,-0.11344640137963147,-0.1132032137679067
KURAMOTO,-0.1047197551196599,-0.10471975511965992,-0.1045284632676536
KURAMOTO,-0.0959931088596879,-0.09599310885968793,-0.0958457525202237
KURAMOTO,-0.0872664625997163,-0.08726646259971638,-0.087155742747658
KURAMOTO,-0.0785398163397448,-0.07853981633974483,-0.0784590957278449
KURAMOTO,-0.0698131700797732,-0.06981317007977328,-0.0697564737441254
KURAMOTO,-0.0610865238198012,-0.061086523819801286,-0.0610485395348566
KURAMOTO,-0.0523598775598297,-0.05235987755982974,-0.0523359562429436
KURAMOTO,-0.0436332312998581,-0.04363323129985819,-0.0436193873653359
KURAMOTO,-0.0349065850398866,-0.03490658503988664,-0.034899496702501
KURAMOTO,-0.026179938779915,-0.02617993877991509,-0.0261769483078733
KURAMOTO,-0.017453292519943,-0.017453292519943098,-0.0174524064372833
KURAMOTO,-0.0087266462599715,-0.008726646259971549,-0.0087265354983738
KURAMOTO,0.0,0.0,
KURAMOTO,,,
KURAMOTO,0.0,0.0,
KURAMOTO,0.0087266462599716,0.008726646259971549,0.0087265354983739
KURAMOTO,0.0174532925199432,0.017453292519943098,0.0174524064372835
KURAMOTO,0.0261799387799149,0.02617993877991509,0.0261769483078731
KURAMOTO,0.0349065850398865,0.03490658503988664,0.0348994967025009
KURAMOTO,0.0436332312998582,0.04363323129985819,0.043619387365336
KURAMOTO,0.0523598775598298,0.05235987755982974,0.0523359562429438
KURAMOTO,0.0610865238198015,0.061086523819801286,0.0610485395348568
KURAMOTO,0.0698131700797731,0.06981317007977328,0.0697564737441253
KURAMOTO,0.0785398163397448,0.07853981633974483,0.0784590957278449
