coupling_function,phase_difference_rad,coupling_function_value
KURAMOTO,-1.3875367553354918,-0.9832549075639545
KURAMOTO,-1.3788101090755203,-0.981627183447664
KURAMOTO,-1.3700834628155487,-0.9799247046208296
KURAMOTO,-1.361356816555577,-0.9781476007338056
KURAMOTO,-1.3526301702956054,-0.9762960071199334
KURAMOTO,-1.3439035240356336,-0.9743700647852352
KURAMOTO,-1.335176877775662,-0.9723699203976766
KURAMOTO,-1.3264502315156903,-0.9702957262759965
KURAMOTO,-1.3177235852557188,-0.9681476403781077
KURAMOTO,-1.308996938995747,-0.9659258262890682
KURAMOTO,-1.3002702927357754,-0.963630453208623
KURAMOTO,-1.2915436464758039,-0.9612616959383189
KURAMOTO,-1.2828170002158321,-0.958819734868193
KURAMOTO,-1.2740903539558606,-0.9563047559630354
KURAMOTO,-1.2653637076958888,-0.9537169507482268
KURAMOTO,-1.2566370614359172,-0.9510565162951535
KURAMOTO,-1.2479104151759455,-0.9483236552061993
KURAMOTO,-1.239183768915974,-0.9455185755993167
KURAMOTO,-1.2304571226560022,-0.9426414910921783
KURAMOTO,-1.2217304763960306,-0.9396926207859083
KURAMOTO,-1.213003830136059,-0.9366721892483976
KURAMOTO,-1.2042771838760873,-0.9335804264972017
KURAMOTO,-1.1955505376161157,-0.9304175679820246
KURAMOTO,-1.186823891356144,-0.9271838545667873
KURAMOTO,-1.1780972450961724,-0.9238795325112867
KURAMOTO,-1.1693705988362006,-0.9205048534524403
KURAMOTO,-1.160643952576229,-0.917060074385124
KURAMOTO,-1.1519173063162573,-0.9135454576426009
KURAMOTO,-1.1431906600562858,-0.9099612708765432
KURAMOTO,-1.1344640137963142,-0.9063077870366499
KURAMOTO,-1.1257373675363427,-0.9025852843498606
KURAMOTO,-1.1170107212763707,-0.8987940462991669
KURAMOTO,-1.1082840750163991,-0.894934361602025
KURAMOTO,-1.0995574287564276,-0.8910065241883678
KURAMOTO,-1.090830782496456,-0.8870108331782217
KURAMOTO,-1.082104136236484,-0.8829475928589268
KURAMOTO,-1.0733774899765125,-0.8788171126619653
KURAMOTO,-1.064650843716541,-0.8746197071393957
KURAMOTO,-1.0559241974565694,-0.8703556959398997
KURAMOTO,-1.0471975511965979,-0.8660254037844387
KURAMOTO,-1.0384709049366259,-0.8616291604415256
KURAMOTO,-1.0297442586766543,-0.8571673007021122
KURAMOTO,-1.0210176124166828,-0.8526401643540922
KURAMOTO,-1.0122909661567112,-0.8480480961564261
KURAMOTO,-1.0035643198967392,-0.8433914458128855
KURAMOTO,-0.9948376736367677,-0.8386705679454239
KURAMOTO,-0.9861110273767961,-0.8338858220671681
KURAMOTO,-0.9773843811168246,-0.8290375725550417
KURAMOTO,-0.968657734856853,-0.8241261886220157
KURAMOTO,-0.959931088596881,-0.8191520442889917
KURAMOTO,-0.9512044423369095,-0.8141155183563191
KURAMOTO,-0.9424777960769379,-0.8090169943749475
KURAMOTO,-0.9337511498169664,-0.8038568606172174
KURAMOTO,-0.9250245035569944,-0.7986355100472927
KURAMOTO,-0.9162978572970228,-0.793353340291235
KURAMOTO,-0.9075712110370513,-0.7880107536067219
KURAMOTO,-0.8988445647770797,-0.7826081568524139
KURAMOTO,-0.8901179185171082,-0.7771459614569709
KURAMOTO,-0.8813912722571362,-0.7716245833877198
KURAMOTO,-0.8726646259971647,-0.7660444431189779
KURAMOTO,-0.8639379797371931,-0.7604059656000309
