run_id,final_10_cycle_adjacent_phase_gap_std_mean_rad,final_10_observed_cycle_count,coupling_function,device_count,k
019f6674-4556-7313-85b0-043920f3db57_0067,0.4434884548972744,10,LINEAR,10,2
019f6674-4557-72e7-9a5c-092f796e82b1_0068,0.6875768751637998,10,LINEAR,10,2
019f6674-4558-7444-9527-5a911aab3666_0069,0.21975732407009468,10,LINEAR,10,2
019f6674-4559-71ef-98ae-9c70c277fd1b_0070,0.4683257110884048,10,LINEAR,10,2
019f6674-455a-70ca-9a55-962c3c3e2b87_0071,0.6192451390448002,10,LINEAR,10,2
019f6674-455b-7250-a1e3-3c26ffcc95c2_0072,0.7134202269118756,10,LINEAR,10,2
019f6674-455c-76e6-ba21-095c1b3e8579_0073,0.4446393375805105,10,LINEAR,10,2
019f6674-455d-75bf-b227-391b93f41163_0074,0.4639529403013817,10,LINEAR,10,2
019f6674-455e-789e-aef4-db6b1e551501_0075,0.6660946921759093,10,LINEAR,10,2
019f6674-455f-774f-88e4-672d81f5f67c_0076,0.2679755270790589,10,LINEAR,10,2
019f6674-4560-7afa-80b5-d596bc895adc_0077,0.6415667819365585,10,LINEAR,10,2
019f6674-4561-7e5b-83a2-d6c2ddefa03b_0078,0.20762599173018423,10,LINEAR,10,2
019f6674-4562-75df-9ee1-4f4f6b45846a_0079,0.3734337304941865,10,LINEAR,10,2
019f6674-4563-7886-9428-3003df1aa986_0080,0.2969535267141377,10,LINEAR,10,2
019f6674-4564-7e02-b1b3-8b0ef9043b64_0081,0.45824755199089545,10,LINEAR,10,2
019f6674-4565-7415-ae3e-1d80bfc2e64c_0082,0.5603257839575981,10,LINEAR,10,2
019f6674-4566-74af-9ed5-f5b2bec11ccc_0083,0.27773169507324214,10,LINEAR,10,2
019f6674-4567-7925-974a-7fbe3c075a60_0084,0.5672618071494843,10,LINEAR,10,2
019f6674-4568-7e99-aa63-51b31b325bdf_0085,0.2648180437686863,10,LINEAR,10,2
019f6674-4569-7b6e-b1ed-8c4232a03ae9_0086,0.24860976001618829,10,LINEAR,10,2
019f6674-456a-72c3-8c6c-c264d12a7a88_0087,0.5965146257742113,10,LINEAR,10,2
019f6674-456b-71ef-b0fa-842a1f85cf5a_0088,0.4205042655862794,10,LINEAR,10,2
019f6674-456c-7a53-99dc-92c042fea19b_0089,0.4386557632045506,10,LINEAR,10,2
019f6674-456d-72ed-a6d3-2039a13c0a75_0090,0.1889010972363126,10,LINEAR,10,2
019f6674-456e-78e5-96ce-5a132f471c5f_0091,0.6759272367200826,10,LINEAR,10,2
019f6674-456f-72b7-bb3e-26d40915271d_0092,0.5978155752271129,10,LINEAR,10,2
019f6674-4570-7ac7-8693-c4baa1bbb11a_0093,0.3520992423101529,10,LINEAR,10,2
019f6674-4571-7dda-a85e-23eb3db06194_0094,0.6391517538041103,10,LINEAR,10,2
019f6674-4572-705b-8a27-6a7f6b9ceb1d_0095,0.3942417307953737,10,LINEAR,10,2
019f6674-4573-7d20-98f1-2dc71838e0d1_0096,0.27727539641365717,10,LINEAR,10,2
019f6674-4574-70af-8dc6-9363fb954905_0097,0.26914501484529485,10,LINEAR,10,2
019f6674-4575-7bac-90f7-c2928462dab4_0098,0.1863507045914163,10,LINEAR,10,2
019f6674-4576-75f4-90d4-bc6af46d7068_0099,0.21913796635312507,10,LINEAR,10,2
019f6674-4577-7e93-8f7d-6cee9cffa8be_0100,0.39508037467732676,10,LINEAR,10,2
019f6674-4578-7e8f-828b-e823c5efee5c_0101,0.15438586897120998,10,LINEAR,10,2
019f6674-4579-757b-84c9-b846a59e084b_0102,0.2760130376469512,10,LINEAR,10,2
019f6674-457a-7cfc-8b37-e7b569e9c23e_0103,0.5234671977223615,10,LINEAR,10,2
019f6674-457b-7c68-a4a3-aa68141deb62_0104,0.050992120281957785,10,LINEAR,10,2
019f6674-457c-7ece-8c29-e0a040151c4f_0105,0.6703064366498097,10,LINEAR,10,2
019f6674-457d-7a23-8cde-4837265af4e1_0106,0.3280168717533199,10,LINEAR,10,2
019f6674-457e-796c-9e10-578c3f853dba_0107,0.24283019365258438,10,LINEAR,10,2
019f6674-457f-7454-abd0-3604624008c7_0108,0.4783860156137999,10,LINEAR,10,2
019f6674-4580-7b02-a98b-941efee4e76f_0109,0.4669705325539895,10,LINEAR,10,2
019f6674-4581-7f2b-a304-bb26919bd17e_0110,0.28743965774742153,10,LINEAR,10,2
019f6674-4582-79ed-ab45-62b19615929f_0111,0.2727673767656273,10,LINEAR,10,2
019f6674-4583-7a98-8bfb-148dd73e14f7_0112,0.35930076994621674,10,LINEAR,10,2
019f6674-4584-77b0-aaa5-16e84266073e_0113,0.18279530710126873,10,LINEAR,10,2
019f6674-4585-7548-b417-430aff4a5953_0114,0.19344109231224255,10,LINEAR,10,2
019f6674-4586-74c1-8539-4e658fba9766_0115,0.42499477779731337,10,LINEAR,10,2
019f6674-4587-7376-8210-506ac87b7c26_0116,0.5403714652807724,10,LINEAR,10,2
019f6674-4588-7f80-9c5d-35eccde37fb2_0117,0.3478331756396916,10,LINEAR,10,2
019f6674-4589-74fe-9e10-02a15a5757dd_0118,0.43980065125769546,10,LINEAR,10,2
019f6674-458a-721a-a195-744f0960ba45_0119,0.6706200243017917,10,LINEAR,10,2
019f6674-458b-7c14-a573-f91f1724f67d_0120,0.4248141127897907,10,LINEAR,10,2
019f6674-458c-7078-8ec1-a16894388ff1_0121,0.42409129783642197,10,LINEAR,10,2
019f6674-458d-7818-b3ec-932ec805a2e8_0122,0.451605392488588,10,LINEAR,10,2
019f6674-458e-770a-945a-2c6b5438f4ad_0123,0.20832060366596755,10,LINEAR,10,2
019f6674-458f-7991-94ea-756fad7d2860_0124,0.39222968904820316,10,LINEAR,10,2
019f6674-4590-78df-8fe0-81107c902906_0125,0.25136220937282167,10,LINEAR,10,2
019f6674-4591-7dac-b80d-525364b40671_0126,0.2586019924793832,10,LINEAR,10,2
019f6674-4592-75af-96d4-58bd87917b4a_0127,0.41174475036198477,10,LINEAR,10,2
019f6674-4593-72a3-9ec9-83671d5248dd_0128,0.5390457071003393,10,LINEAR,10,2
019f6674-4594-7361-a4f4-7df387fca20b_0129,0.2403533281922587,10,LINEAR,10,2
019f6674-4595-746c-8ef8-47816731e2c0_0130,0.3547123413927168,10,LINEAR,10,2
019f6674-4596-7764-8046-683fb9f98293_0131,0.2529719494489145,10,LINEAR,10,2
019f6674-4597-7353-bfc1-8ce1adea4e53_0132,0.32346811112192564,10,LINEAR,10,2
019f6674-4598-77ac-ba21-800c203837d8_0133,0.516202652109747,10,LINEAR,10,2
019f6674-4599-7838-8ddf-b002696e5a84_0134,0.3410215548650742,10,LINEAR,10,2
019f6674-459a-7c24-9bcd-1c66003f4b9a_0135,0.3449114575179032,10,LINEAR,10,2
