function,label,delta_rad,coupling_value
NewSIN,1-sin based,-1.754055898254301,-0.016745092436045494
NewSIN,1-sin based,-1.7453292519943295,-0.01519224698779198
NewSIN,1-sin based,-1.7366026057343578,-0.013714398462768673
NewSIN,1-sin based,-1.7278759594743862,-0.01231165940486234
NewSIN,1-sin based,-1.7191493132144144,-0.010984136638083175
NewSIN,1-sin based,-1.710422666954443,-0.009731931258429749
NewSIN,1-sin based,-1.7016960206944713,-0.008555138626189618
NewSIN,1-sin based,-1.6929693744344996,-0.007453848358677906
NewSIN,1-sin based,-1.684242728174528,-0.0064281443234125435
NewSIN,1-sin based,-1.6755160819145563,-0.005478104631726599
NewSIN,1-sin based,-1.6667894356545847,-0.004603801632821258
NewSIN,1-sin based,-1.658062789394613,-0.003805301908254455
NewSIN,1-sin based,-1.6493361431346414,-0.003082666266872036
NewSIN,1-sin based,-1.6406094968746696,-0.0024359497401758023
NewSIN,1-sin based,-1.631882850614698,-0.001865201578132969
NewSIN,1-sin based,-1.6231562043547265,-0.0013704652454261668
NewSIN,1-sin based,-1.6144295580947547,-0.0009517784181422018
NewSIN,1-sin based,-1.6057029118347832,-0.0006091729809042379
NewSIN,1-sin based,-1.5969762655748114,-0.0003426750244427401
NewSIN,1-sin based,-1.5882496193148399,-0.00015230484360873042
NewSIN,1-sin based,-1.579522973054868,-3.807693582869032e-05
NewSIN,1-sin based,-1.5707963267948966,0.0
NewSIN,1-sin based,-1.5620696805349248,-3.807693582869032e-05
NewSIN,1-sin based,-1.5533430342749532,-0.00015230484360873042
NewSIN,1-sin based,-1.5446163880149817,-0.0003426750244427401
NewSIN,1-sin based,-1.53588974175501,-0.0006091729809042379
NewSIN,1-sin based,-1.5271630954950384,-0.0009517784181422018
NewSIN,1-sin based,-1.5184364492350666,-0.0013704652454261668
NewSIN,1-sin based,-1.509709802975095,-0.001865201578132969
NewSIN,1-sin based,-1.5009831567151233,-0.0024359497401756913
NewSIN,1-sin based,-1.4922565104551517,-0.003082666266872036
NewSIN,1-sin based,-1.48352986419518,-0.003805301908254455
NewSIN,1-sin based,-1.4748032179352084,-0.004603801632821147
