function,label,residual_column,time_point_min,k,residual_phase_spacing_error,n_runs
KURAMOTO,Kuramoto based,residual_median,30,1221.0,0.0631054835451243,500
KURAMOTO,Kuramoto based,residual_median,30,1231.0,0.0631788098742588,500
KURAMOTO,Kuramoto based,residual_median,30,1241.0,0.0635124879872969,500
KURAMOTO,Kuramoto based,residual_median,30,1251.0,0.0637222285849294,500
KURAMOTO,Kuramoto based,residual_median,30,1261.0,0.0638275252331464,500
KURAMOTO,Kuramoto based,residual_median,30,1271.0,0.064145102988089,500
KURAMOTO,Kuramoto based,residual_median,30,1281.0,0.0642869026713778,500
KURAMOTO,Kuramoto based,residual_median,30,1291.0,0.0642109384157349,500
KURAMOTO,Kuramoto based,residual_median,30,1301.0,0.0642123149109424,500
KURAMOTO,Kuramoto based,residual_median,30,1311.0,0.0645535290507561,500
KURAMOTO,Kuramoto based,residual_median,30,1321.0,0.0648938412072281,500
KURAMOTO,Kuramoto based,residual_median,30,1331.0,0.0651481883539775,500
KURAMOTO,Kuramoto based,residual_median,30,1341.0,0.0654477250532066,500
KURAMOTO,Kuramoto based,residual_median,30,1351.0,0.0653081648238841,500
KURAMOTO,Kuramoto based,residual_median,30,1361.0,0.0652176321992517,500
KURAMOTO,Kuramoto based,residual_median,30,1371.0,0.0658631651720073,500
KURAMOTO,Kuramoto based,residual_median,30,1381.0,0.0657619589536331,500
KURAMOTO,Kuramoto based,residual_median,30,1391.0,0.06554383390595,500
KURAMOTO,Kuramoto based,residual_median,30,1401.0,0.0659199335035363,500
KURAMOTO,Kuramoto based,residual_median,30,1411.0,0.0657765805220537,500
KURAMOTO,Kuramoto based,residual_median,30,1421.0,0.0663030833135712,500
KURAMOTO,Kuramoto based,residual_median,30,1431.0,0.0662230358429653,500
KURAMOTO,Kuramoto based,residual_median,30,1441.0,0.0662788277981297,500
KURAMOTO,Kuramoto based,residual_median,30,1451.0,0.0665120688208139,500
KURAMOTO,Kuramoto based,residual_median,30,1461.0,0.0664638326769928,500
KURAMOTO,Kuramoto based,residual_median,30,1471.0,0.0665447999237094,500
KURAMOTO,Kuramoto based,residual_median,30,1481.0,0.0668645401609507,500
KURAMOTO,Kuramoto based,residual_median,30,1491.0,0.0667820879359752,500
KURAMOTO,Kuramoto based,residual_3min_median,3,1.0,0.0871862816683466,499
KURAMOTO,Kuramoto based,residual_3min_median,3,11.0,0.0831655778061853,500
KURAMOTO,Kuramoto based,residual_3min_median,3,21.0,0.0795098502328495,500
KURAMOTO,Kuramoto based,residual_3min_median,3,31.0,0.0760168936680703,500
KURAMOTO,Kuramoto based,residual_3min_median,3,41.0,0.0725011973760984,498
KURAMOTO,Kuramoto based,residual_3min_median,3,51.0,0.0692888189741147,499
KURAMOTO,Kuramoto based,residual_3min_median,3,61.0,0.0663775067478782,499
KURAMOTO,Kuramoto based,residual_3min_median,3,71.0,0.0632693864337721,500
KURAMOTO,Kuramoto based,residual_3min_median,3,81.0,0.0604163660956102,500
KURAMOTO,Kuramoto based,residual_3min_median,3,91.0,0.0573373703167973,500
KURAMOTO,Kuramoto based,residual_3min_median,3,101.0,0.0551010637679801,500
KURAMOTO,Kuramoto based,residual_3min_median,3,111.0,0.0529478626729223,500
KURAMOTO,Kuramoto based,residual_3min_median,3,121.0,0.0508335249075141,500
KURAMOTO,Kuramoto based,residual_3min_median,3,131.0,0.0489360706569416,500
KURAMOTO,Kuramoto based,residual_3min_median,3,141.0,0.0476293841136887,500
KURAMOTO,Kuramoto based,residual_3min_median,3,151.0,0.0463301229314415,500
KURAMOTO,Kuramoto based,residual_3min_median,3,161.0,0.044747310694474,500
KURAMOTO,Kuramoto based,residual_3min_median,3,171.0,0.0435278417908277,500
KURAMOTO,Kuramoto based,residual_3min_median,3,181.0,0.0422066093782417,500
KURAMOTO,Kuramoto based,residual_3min_median,3,191.0,0.0411580758495108,500
KURAMOTO,Kuramoto based,residual_3min_median,3,201.0,0.0402513654896965,500
KURAMOTO,Kuramoto based,residual_3min_median,3,211.0,0.0395138389143145,500
KURAMOTO,Kuramoto based,residual_3min_median,3,221.0,0.0388866727638296,500
KURAMOTO,Kuramoto based,residual_3min_median,3,231.0,0.0385020676039346,500
KURAMOTO,Kuramoto based,residual_3min_median,3,241.0,0.0383684955723362,500
KURAMOTO,Kuramoto based,residual_3min_median,3,251.0,0.0377140664239136,500
