function,label,k,overall_per_mean,residual_median,residual_3min_median
LINEAR,frog chorus based,24.0,1.1834,0.0277894526091967,0.0341039176369859
LINEAR,frog chorus based,25.0,1.2280666666666669,0.02821993959603,0.033948176380072
LINEAR,frog chorus based,26.0,1.281177777777778,0.0288184899171491,0.0342463474457534
LINEAR,frog chorus based,27.0,1.3968000000000005,0.0293948742197627,0.034168989168344
LINEAR,frog chorus based,28.0,1.4054222222222224,0.0298128639052628,0.0343899078542686
LINEAR,frog chorus based,29.0,1.4364222222222225,0.0296528801743024,0.0341532033152591
LINEAR,frog chorus based,30.0,1.4973555555555558,0.0303930484891677,0.0342560042438219
LINEAR,frog chorus based,31.0,1.5172,0.0304723023961568,0.0344431295046337
LINEAR,frog chorus based,32.0,1.4611555555555555,0.03081671301479,0.0350015199101583
LINEAR,frog chorus based,33.0,1.4774222222222222,0.0308590989885858,0.0349757468601112
LINEAR,frog chorus based,34.0,1.4868444444444444,0.0315995804203996,0.0352929998493184
LINEAR,frog chorus based,35.0,1.5093777777777777,0.0319802891083514,0.035590671071973
LINEAR,frog chorus based,36.0,1.5208444444444449,0.032249860184088,0.0357092916969274
LINEAR,frog chorus based,37.0,1.5972222222222223,0.0327573514829793,0.0363116788640445
LINEAR,frog chorus based,38.0,1.648244444444445,0.0329359150638331,0.0366676851157544
LINEAR,frog chorus based,39.0,1.6316222222222228,0.0335005419705675,0.0371548564261341
LINEAR,frog chorus based,40.0,1.6677333333333335,0.0338454441172023,0.0372926798507185
LINEAR,frog chorus based,41.0,1.711377777777778,0.0340447136997201,0.0375434474880903
LINEAR,frog chorus based,42.0,1.690466666666667,0.0345073526068544,0.0377410952655136
LINEAR,frog chorus based,43.0,1.8005777777777785,0.0347996322985014,0.0383099354882555
LINEAR,frog chorus based,44.0,1.7964222222222224,0.0351267805983739,0.0384953264084076
LINEAR,frog chorus based,45.0,1.9531111111111112,0.0353699575913327,0.0388171975180384
LINEAR,frog chorus based,46.0,1.9176222222222228,0.0354607680117856,0.0392460418983829
LINEAR,frog chorus based,47.0,2.0200000000000005,0.0356321339121692,0.0394356766391211
LINEAR,frog chorus based,48.0,2.059488888888889,0.0358639513716345,0.0397971405432134
LINEAR,frog chorus based,49.0,2.0457333333333336,0.0361984085934644,0.0401975944719229
LINEAR,frog chorus based,50.0,2.0537333333333336,0.0365557856364693,0.0406609411455616
