function,label,k,overall_per_mean,residual_median,residual_3min_median
KURAMOTO,Kuramoto based,1101.0,6.6522,0.0600983257863352,0.0635518517970733
KURAMOTO,Kuramoto based,1111.0,6.714577777777778,0.0602947065073257,0.0637989360268806
KURAMOTO,Kuramoto based,1121.0,6.782799999999999,0.0604517638934351,0.0639821218137284
KURAMOTO,Kuramoto based,1131.0,6.828488888888889,0.0608029263132327,0.0643735987947006
KURAMOTO,Kuramoto based,1141.0,6.878311111111112,0.0611808212426993,0.0644457215274979
KURAMOTO,Kuramoto based,1151.0,6.942977777777778,0.0614126741213473,0.0643090935086853
KURAMOTO,Kuramoto based,1161.0,6.995911111111111,0.0615175404480228,0.0651401481360458
KURAMOTO,Kuramoto based,1171.0,7.039866666666667,0.0618865045139875,0.0649731843473135
KURAMOTO,Kuramoto based,1181.0,7.090555555555556,0.0618638051644481,0.0653104197186475
KURAMOTO,Kuramoto based,1191.0,7.137488888888889,0.062352772478268,0.0655740467705206
KURAMOTO,Kuramoto based,1201.0,7.191044444444445,0.0624686251772061,0.0658230383971637
KURAMOTO,Kuramoto based,1211.0,7.252355555555556,0.0626993991879034,0.0658312755279676
KURAMOTO,Kuramoto based,1221.0,7.262399999999999,0.0631054835451243,0.0661354385740532
KURAMOTO,Kuramoto based,1231.0,7.304600000000001,0.0631788098742588,0.0660155520741634
KURAMOTO,Kuramoto based,1241.0,7.335644444444444,0.0635124879872969,0.0661265681223434
KURAMOTO,Kuramoto based,1251.0,7.373088888888889,0.0637222285849294,0.0663843127453675
KURAMOTO,Kuramoto based,1261.0,7.410133333333334,0.0638275252331464,0.066966486273593
KURAMOTO,Kuramoto based,1271.0,7.435333333333333,0.064145102988089,0.0668597890946569
KURAMOTO,Kuramoto based,1281.0,7.481266666666666,0.0642869026713778,0.0669370753899879
KURAMOTO,Kuramoto based,1291.0,7.474733333333334,0.0642109384157349,0.0670714356465095
KURAMOTO,Kuramoto based,1301.0,7.5177555555555555,0.0642123149109424,0.0673664152864278
KURAMOTO,Kuramoto based,1311.0,7.514555555555556,0.0645535290507561,0.0675887429324645
KURAMOTO,Kuramoto based,1321.0,7.532155555555556,0.0648938412072281,0.0674786678147448
KURAMOTO,Kuramoto based,1331.0,7.524511111111111,0.0651481883539775,0.0676970859461993
KURAMOTO,Kuramoto based,1341.0,7.562177777777777,0.0654477250532066,0.0677985764293749
KURAMOTO,Kuramoto based,1351.0,7.575644444444444,0.0653081648238841,0.0682028587626066
KURAMOTO,Kuramoto based,1361.0,7.576444444444444,0.0652176321992517,0.0682201686370385
KURAMOTO,Kuramoto based,1371.0,7.585133333333333,0.0658631651720073,0.0683237601082912
KURAMOTO,Kuramoto based,1381.0,7.567311111111111,0.0657619589536331,0.0685059897975905
KURAMOTO,Kuramoto based,1391.0,7.587266666666666,0.06554383390595,0.0680434734365961
KURAMOTO,Kuramoto based,1401.0,7.603111111111112,0.0659199335035363,0.0685528808662382
KURAMOTO,Kuramoto based,1411.0,7.598733333333334,0.0657765805220537,0.0688954805271473
KURAMOTO,Kuramoto based,1421.0,7.603422222222221,0.0663030833135712,0.0685714190817126
KURAMOTO,Kuramoto based,1431.0,7.622622222222223,0.0662230358429653,0.0687908751659572
KURAMOTO,Kuramoto based,1441.0,7.579377777777777,0.0662788277981297,0.0691149285289502
KURAMOTO,Kuramoto based,1451.0,7.577866666666667,0.0665120688208139,0.0688084598132768
KURAMOTO,Kuramoto based,1461.0,7.584911111111111,0.0664638326769928,0.0691414246547813
KURAMOTO,Kuramoto based,1471.0,7.606133333333333,0.0665447999237094,0.0690728569654068
KURAMOTO,Kuramoto based,1481.0,7.588666666666666,0.0668645401609507,0.0690705386792749
KURAMOTO,Kuramoto based,1491.0,7.606199999999999,0.0667820879359752,0.0695897813385253
